id_produk,nama_produk,review,id_user,nama_akun,rating_user,ulasan_produk,waktu_review,varian_produk
PI2563,Pulsar X2 MINI RandomFrankP Edition WIreless Gaming Mouse,1,UI0001,Bimo,5,Nyaman dan praktis tinggal plug and play,Lebih dari 1 tahun lalu,none
PI2564,Melgeek Mojo68 Retro - Mechanical Keyboard,1,UI0002,S***m,5,"Keren memang mojo68 retro, sayang typing sound nya too quiet, mungkin karna switch gat silver tipenya senyap",9 bulan lalu,Varian: Gat Silver Pro
PI2567,Redragon K608 Full size Mechanical - Gaming Keyboard,1,UI0003,Riski,5,"buat yg nyari suara pas ngetik, bisa beli yg switch biru atau merah",Lebih dari 1 tahun lalu,Varian: Brown Switch
PI2569,CORSAIR MM300 EXTENDED GAMING MOUSEPAD SPEED,1,UI0004,S***o,5,"rapih, material bagus, nyaman digunakan, dimensinya pas. Cocok banget buat yg suka main game atau yg bekerja sambil ngerokok karena corak mose pad jd kamuflase abu rokok...",Lebih dari 1 tahun lalu,none
PI2573,ZOOM75 Essential Edition Strawberry IceCream BAREBONE,1,UI0005,Winardi,5,"Kedua kali beli Zoom75 disini and never dissapoints! Proses pengiriman sangat cepat, packingan super aman dan dapet bonus keychain dan tumbler juga. Thank you GGS!",3 bulan lalu,none
PI2576,ZOOM75 Essential Edition Milky Green NON-Flex Cut RGB BAREBONE,1,UI0006,r***i,1,"boxnya penyok, robek. kenapa harus dikasih bonus merchandise botol? setau saya kan itu bikin boxnya makin tertekan dan hasilnya jadi penyok boxnya. kalau memang ada bonus...",4 bulan lalu,none
PI2578,Razer Wolverine V2 Pro - White - Wireless Pro Gaming Controller,1,UI0007,R***y,4,Pengiriman agak lama. But product delivered is good,3 bulan lalu,none
PI2581,STREAMPLIFY 2IN1 (CAM + LIGHT 10),1,UI0008,ASKRAUTOWORKS,5,Terbaik,Lebih dari 1 tahun lalu,none
PI2582,Yiqi Keycaps Plastics PBT Dye-Sub MDA Profile,1,UI0009,M***M,5,"produk baik, kualitas baik, walopun harus ganti ke theme winter karena barang yang theme plastic ga ready pas udah dipesen. masih kepengen yang theme plastic tapi nanti l...",Lebih dari 1 tahun lalu,none
PI2583,Bundling Promo XLite V2 Mini Wireless + Paracontrol Mousepad V2 (Blue),1,UI0010,B***y,5,v1 aja uda best apalagi v2 👍,Lebih dari 1 tahun lalu,none
PI0102,Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,1,UI0011,F***t,5,"Overall puas dengan quality Keycaps nya , sayangnya sizing nya ternyata ga 100% pas di layout 86% , recommended buat yg Fullsize",9 bulan lalu,Varian: BlackGrey 2Tone
PI0102,Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,2,UI0012,K***h,5,Seller responsif proses cepat. Lebih cocok untuk yg lednya northface ternyata.,Lebih dari 1 tahun lalu,Varian: WhiteGrey 2Tone
