Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,1,F***t,bintang 5,"Overall puas dengan quality Keycaps nya , sayangnya sizing nya ternyata ga 100% pas di layout 86% , recommended buat yg Fullsize",9 bulan lalu,Varian: BlackGrey 2Tone
Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,2,K***h,bintang 5,Seller responsif proses cepat. Lebih cocok untuk yg lednya northface ternyata.,Lebih dari 1 tahun lalu,Varian: WhiteGrey 2Tone
Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,3,X***z,bintang 5,"lumyan update looks phantom lama yang item semua, good product.",Lebih dari 1 tahun lalu,Varian: WhiteGrey 2Tone
Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,4,ASKRAUTOWORKS,bintang 5,Barang bagus,Lebih dari 1 tahun lalu,Varian: WhiteGrey 2Tone
Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,5,Aldi,bintang 5,Berfungsi dengan baik 👍,Lebih dari 1 tahun lalu,Varian: WhiteGrey 2Tone
Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,6,Daniel,bintang 4,"Feel typenya lbh enak dr bawaan tecware phantom, cuma sy kurang teliti ternyata blm dapet keycap shift kanan 1.75u dan alt fn ctrl kanan 1u jd kl coba pasang di layout. 6...",Lebih dari 1 tahun lalu,Varian: WhiteGrey 2Tone
Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,7,Fahmi,bintang 5,"adminnya baik banget pas ditanya tanya keycaps mana yang cocok untuk keyboard gua, the best dah",Lebih dari 1 tahun lalu,Varian: WhiteGrey 2Tone
Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,8,W***y,bintang 5,"Enak banget buat nge-game, Build quality-nya terbaik",Lebih dari 1 tahun lalu,Varian: BlackGrey 2Tone
Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,9,L***r,bintang 5,Purrrrfeekkkk 👌🏻,Lebih dari 1 tahun lalu,Varian: WhiteGrey 2Tone
Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,10,William,bintang 5,nice 👍,Lebih dari 1 tahun lalu,Varian: BlackGrey 2Tone
Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,11,Kazehaya,bintang 5,"Produknya bgs, sesuai speksifikasi. Kemarin ada keycaps yang hilang dan lgsg dikirim keycaps pengganti. Mantap.",Lebih dari 1 tahun lalu,Varian: WhiteGrey 2Tone
Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,12,H***n,bintang 5,"Pengiriman cepat, seller pun ramah.. Well done 👍",Lebih dari 1 tahun lalu,Varian: BlackGrey 2Tone
Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,13,maikel,bintang 5,gada dua nya beli di mari,Lebih dari 1 tahun lalu,Varian: WhiteGrey 2Tone
Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,14,S***l,bintang 5,"cocok sama stylenya, multimedia keynya juga dibuat ga keliatan + setup keyboardnya jadi bersih",Lebih dari 1 tahun lalu,Varian: BlackGrey 2Tone
Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,15,Varian,bintang 5,"quality nya good, pas buat anne pro 2",Lebih dari 1 tahun lalu,Varian: Classic Black
Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,16,Iwan,bintang 5,"Keycaps pesanan sudah diterima, pakai free ongkir, pesan kemarin sore, diterima sore ini, gercep sekali. Keycaps udah terpasang di Tecware Phantom L saya, semua keycap pa...",Lebih dari 1 tahun lalu,Varian: BlackGrey 2Tone
Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,17,M***m,bintang 5,"Produk sesuai pesanan, terima kasih",Lebih dari 1 tahun lalu,Varian: Classic White
Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,18,Sandra,bintang 5,Barang ok,Lebih dari 1 tahun lalu,Varian: Classic White
Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,19,Fachrizal,bintang 5,"Terbaiklah, setelah transfer nomer resinya langsung keluar dan dikirim langsung gapake lama. Katanya sih bisa dipasang ke Leopold Fc750R tapi gatau deh bener apa nggak, s...",Lebih dari 1 tahun lalu,Varian: Classic Black
Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,20,Dave,bintang 5,Mantap keycaps Enak banget buat nge-game,Lebih dari 1 tahun lalu,Varian: BlackGrey 2Tone
Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,21,Dhanika,bintang 5,"Bagus bgt bahannya, di jari enak feelnya. Legendsnya saya suka, gak kyk gaming style yg aneh2. Kekurangannya cuma yg warna grey gak terlalu tembus LED",Lebih dari 1 tahun lalu,Varian: WhiteGrey 2Tone
Tecware Double Shot PBT Backlit Keycaps - Gaming Keycaps - Classic Black,22,j***s,bintang 5,bagus,Lebih dari 1 tahun lalu,Varian: BlackGrey 2Tone
