Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
dbE GM210 / GM 210 7.1 Virtual Surround - Gaming Headphone,1,a***l,bintang 5,"Berfungsi dengan baik, tidak ada cacat, mantap",5 bulan lalu,none
dbE GM210 / GM 210 7.1 Virtual Surround - Gaming Headphone,2,J***n,bintang 5,"untuk barang bagus sampai lokasi tapi ada penyot dikotak, suara enak tapi build quality seperti kopong jadi suara juga seperti berlebih di mid",6 bulan lalu,none
dbE GM210 / GM 210 7.1 Virtual Surround - Gaming Headphone,3,F***d,bintang 5,Suaranya lumanyan. Betul kata orang2 kualitas mic-nya tergolong bagus utk harga dibawah 300k. Cuma dikuping agak kurang rapet aja.,6 bulan lalu,none
dbE GM210 / GM 210 7.1 Virtual Surround - Gaming Headphone,4,Michael,bintang 4,"Barangnya bagus sesuai review, mic berfungsi dgn baik, kualitas suaranya jg bagus, bukan tipe headphone yg ngebas bgt, netral lah ini cm minusnya kardusnya udah penyok2 p...",9 bulan lalu,none
dbE GM210 / GM 210 7.1 Virtual Surround - Gaming Headphone,5,T***n,bintang 5,"Barangnya mantap, pengirimannya cepat, pas dipakai nyaman banget. Mantap dah pokoknya",11 bulan lalu,none
dbE GM210 / GM 210 7.1 Virtual Surround - Gaming Headphone,6,N***i,bintang 5,nice,11 bulan lalu,none
dbE GM210 / GM 210 7.1 Virtual Surround - Gaming Headphone,7,Robby,bintang 5,"mantap, admin fast respon. naise",Lebih dari 1 tahun lalu,none
dbE GM210 / GM 210 7.1 Virtual Surround - Gaming Headphone,8,Vincent,bintang 4,"Utk barang oke, hanya saja sempat salah kirim barang, namun di respon dgn baik sm penjual",Lebih dari 1 tahun lalu,none
dbE GM210 / GM 210 7.1 Virtual Surround - Gaming Headphone,9,handhika,bintang 5,bagus banget deh ini headphonenya,Lebih dari 1 tahun lalu,none
dbE GM210 / GM 210 7.1 Virtual Surround - Gaming Headphone,10,Ricardo,bintang 5,keren bangetbat dah ah ngerasa jadi vanosgaming ahaii,Lebih dari 1 tahun lalu,none
dbE GM210 / GM 210 7.1 Virtual Surround - Gaming Headphone,11,H***u,bintang 5,sudah mendarat ditangan dan berfungsi dgn baik. trm kasih,Lebih dari 1 tahun lalu,none
dbE GM210 / GM 210 7.1 Virtual Surround - Gaming Headphone,12,Chandra,bintang 5,"enak suaranya, mantap",Lebih dari 1 tahun lalu,none
dbE GM210 / GM 210 7.1 Virtual Surround - Gaming Headphone,13,Muhammad,bintang 5,"aman, smoga awet",Lebih dari 1 tahun lalu,none
dbE GM210 / GM 210 7.1 Virtual Surround - Gaming Headphone,14,A***i,bintang 5,barang oke dan sesuai dengan pesanan. packing bagus namun pengiriman rada sedikit lama. tapi overal puas bgt belanja disini,Lebih dari 1 tahun lalu,none
dbE GM210 / GM 210 7.1 Virtual Surround - Gaming Headphone,15,Yusuf,bintang 5,pembelian kedua,Lebih dari 1 tahun lalu,none
dbE GM210 / GM 210 7.1 Virtual Surround - Gaming Headphone,16,Galih,bintang 5,mayan headset baru hahah.. kualitas? gk usah ditanya dbe punya,Lebih dari 1 tahun lalu,none
dbE GM210 / GM 210 7.1 Virtual Surround - Gaming Headphone,17,Alifudin,bintang 5,barang bagus sih. nyaman suaranya oke mic nya oke. penjual juga ramah . mantab . ga bosen belanja di sini . garansinya ori,Lebih dari 1 tahun lalu,none
dbE GM210 / GM 210 7.1 Virtual Surround - Gaming Headphone,18,H***l,bintang 5,barang sudah sampai untuk pengiriman ya biasa saja si standar pada umumnya. kondisi baru. next time beli barang apa lagi ya kira kira di GGS,Lebih dari 1 tahun lalu,none
dbE GM210 / GM 210 7.1 Virtual Surround - Gaming Headphone,19,Fashan,bintang 5,"sesuai deskripsi, sayang kardusnya dateng rusak, entah gara2 ekpedisi atau dari tokonya",Lebih dari 1 tahun lalu,none
