Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
Razer Orochi V2 - Gaming Mouse,1,Dimas,bintang 5,Mangstap Djivva,7 bulan lalu,none
Razer Orochi V2 - Gaming Mouse,2,Aldy,bintang 5,Mantap,7 bulan lalu,none
Razer Orochi V2 - Gaming Mouse,3,B***i,bintang 5,"Bagusnya: -Packaging bagus dan rapih -Barang cepat diproses -Produk sesuai -Barangnya bagus, size cocok di tangan, responsive, design simple tapi gak murahan, free batter...",Lebih dari 1 tahun lalu,none
Razer Orochi V2 - Gaming Mouse,4,Demmy,bintang 5,"Cepat untuk pengiriman dan responsenya, barangnya juga mantap aman",Lebih dari 1 tahun lalu,none
Razer Orochi V2 - Gaming Mouse,5,Andreas,bintang 5,"Belanja di toko ini kesekian kali, memuaskan terus.",Lebih dari 1 tahun lalu,none
Razer Orochi V2 - Gaming Mouse,6,Lukman,bintang 4,"barangnya ori, pengiriman jg cepat.. cuma saran jika memang bonus tumbler atau apapun itu habis, bisa dikabari sebelum transaksi atau bisa diganti gambarnya. agar kesanny...",Lebih dari 1 tahun lalu,none
Razer Orochi V2 - Gaming Mouse,7,adrian,bintang 5,"barang sampai dengan aman, lebih enak sih drpd g304 moga2 awet karena g304 saya ada masalah dobel klik",Lebih dari 1 tahun lalu,none
Razer Orochi V2 - Gaming Mouse,8,Yedija,bintang 5,"mantappp. barang diterima dgn baik, agak kecil sih dari biasa yg saya pake tapi overall mantap. enak buat flick game fps 👍🏻👍🏻👍🏻",Lebih dari 1 tahun lalu,none
Razer Orochi V2 - Gaming Mouse,9,Kiki,bintang 5,"Luar biasa ringan, tapi durable dan enak dipakai. Alternatif buat yang ingin mouse gaming tanpa merasa norak gara-gara RGB",Lebih dari 1 tahun lalu,Varian: Mouse Only
Razer Orochi V2 - Gaming Mouse,10,Naufal,bintang 5,"Sebelumnya pakai viper mini, mau upgrade viper ultimate tapi ukurannya lebih panjang. kalau mau nunggu viper mini ultimate (kalau ada) beli ini aja dulu, designnya lebih...",Lebih dari 1 tahun lalu,Varian: Mouse Only
Razer Orochi V2 - Gaming Mouse,11,Narendra,bintang 5,mantep grip nya pas banget yg demen hybrid claw/fingertip dengan ukuran tangan indo. hump di belakangnya masih cukup buat jadi ganjalan tangan jadi aimingnya gk terlalu l...,Lebih dari 1 tahun lalu,Varian: Mouse Only
Razer Orochi V2 - Gaming Mouse,12,M***d,bintang 5,Mousenya mantep tapi buat yg biasa pake ergo seukuran mamba kudu adaptasi dulu pelayanan toko goodgaming ga kalah mantep deh,Lebih dari 1 tahun lalu,none
Razer Orochi V2 - Gaming Mouse,13,I***n,bintang 5,"mouse nya kecil tapi bagus , pergerakan pun dikit delay nya",Lebih dari 1 tahun lalu,none
Razer Orochi V2 - Gaming Mouse,14,andaris,bintang 5,"Joss Gandhoss, Recomended Seller👍👍👍👍",Lebih dari 1 tahun lalu,none
Razer Orochi V2 - Gaming Mouse,15,A***a,bintang 5,Lebih bagus dari Logitech G305,Lebih dari 1 tahun lalu,none
Razer Orochi V2 - Gaming Mouse,16,A***n,bintang 5,none,Lebih dari 1 tahun lalu,none
Razer Orochi V2 - Gaming Mouse,17,K***n,bintang 5,"Barang sampai dengan selamat! Ukuran mouse termasuk kecil, finishing mouse nya matte dan tidak ada bagian karetnya (which is good - for me haha). Build quality nya ok, Mo...",Lebih dari 1 tahun lalu,none
Razer Orochi V2 - Gaming Mouse,18,Andrew,bintang 5,"barang ori, recommended seller",Lebih dari 1 tahun lalu,none
Razer Orochi V2 - Gaming Mouse,19,sololoquy,bintang 4,"Tiba aman Mouse feet nya ga rata, jadinya mouse wobbly pas di pakai Solusi sementara, lepas feet tengah sampai tiger arc muncul. solusi lain: gesek terus mousefeet tengah...",Lebih dari 1 tahun lalu,none
Razer Orochi V2 - Gaming Mouse,20,Haryo,bintang 5,"barang original, respon cepat, pengiriman cepat",Lebih dari 1 tahun lalu,none
Razer Orochi V2 - Gaming Mouse,21,d***a,bintang 5,Barang aman dan sesuai. Lapak cepat proses. Puas belanja disini 👍,Lebih dari 1 tahun lalu,none
Razer Orochi V2 - Gaming Mouse,22,a***y,bintang 5,none,Lebih dari 1 tahun lalu,none
Razer Orochi V2 - Gaming Mouse,23,R***f,bintang 5,"barang ori, kualitas terbaik, seller ramah",Lebih dari 1 tahun lalu,none
Razer Orochi V2 - Gaming Mouse,24,Christopher,bintang 5,Straight upgrade dari G304 👍,Lebih dari 1 tahun lalu,none
Razer Orochi V2 - Gaming Mouse,25,Melvyn,bintang 5,Mantap. Packing baik sekali dgn bublerap. Mouse gaming wireless yg kecil dan ringan dan akurat utk bermain fps.,Lebih dari 1 tahun lalu,none
Razer Orochi V2 - Gaming Mouse,26,A***a,bintang 5,"kecil banget tp masih nyaman di tangan, tombol ringan dan snappy, rekomen buat dibawa kemana2 tp ga terlalu gamer-ish wkwk",Lebih dari 1 tahun lalu,none
Razer Orochi V2 - Gaming Mouse,27,Wahyu,bintang 5,mouse nya ringan banget dan ukurannya pas di tangan saya sebagai replacement logi m585 yang ukurannya 11-12 sama ini mouse. soal komunikasi atau service dari toko ini ju...,Lebih dari 1 tahun lalu,none
Razer Orochi V2 - Gaming Mouse,28,Kenji,bintang 5,Barang sampai dengan selamat walau ada drama drama instant. Sebagai pengganti G304 semoga aja awet,Lebih dari 1 tahun lalu,none
Razer Orochi V2 - Gaming Mouse,29,S***l,bintang 5,"barang bagus, pengiriman cepat banget",Lebih dari 1 tahun lalu,none
