Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
TIGER ARC ICE EDITION Hyperglide/Hyperglides - Gaming Mouse Glide/Feet - Viper,1,D***n,bintang 5,"Bahannya bagus, tebal.",3 bulan lalu,Varian: GProXSuperlight
TIGER ARC ICE EDITION Hyperglide/Hyperglides - Gaming Mouse Glide/Feet - Viper,2,Kikuja,bintang 5,"Mantap, smooth banget, buat control juga enak. Buat main CS2 oke banget.",5 bulan lalu,Varian: GProXSuperlight
TIGER ARC ICE EDITION Hyperglide/Hyperglides - Gaming Mouse Glide/Feet - Viper,3,Pebri,bintang 5,Good quality,6 bulan lalu,Varian: G102
TIGER ARC ICE EDITION Hyperglide/Hyperglides - Gaming Mouse Glide/Feet - Viper,4,Snap,bintang 5,sangat smooth,6 bulan lalu,Varian: G102
TIGER ARC ICE EDITION Hyperglide/Hyperglides - Gaming Mouse Glide/Feet - Viper,5,D***g,bintang 5,none,7 bulan lalu,Varian: GProXSuperlight
TIGER ARC ICE EDITION Hyperglide/Hyperglides - Gaming Mouse Glide/Feet - Viper,6,D***a,bintang 5,licin kayak kulit dada pacar,7 bulan lalu,Varian: G502 Ice
TIGER ARC ICE EDITION Hyperglide/Hyperglides - Gaming Mouse Glide/Feet - Viper,7,Hafizh,bintang 5,"performa mantap, bisa di pake di gpro wireless walaupun harus di akalin dikit",9 bulan lalu,Varian: GProXSuperlight
TIGER ARC ICE EDITION Hyperglide/Hyperglides - Gaming Mouse Glide/Feet - Viper,8,Adimas,bintang 5,bagusttt licin,9 bulan lalu,Varian: GProXSuperlight
TIGER ARC ICE EDITION Hyperglide/Hyperglides - Gaming Mouse Glide/Feet - Viper,9,W***o,bintang 5,"seperti biasanya proses cepat, barang sesuai pesanan, terimakasih min mousefeet oke jadi lebih stabil dan lebih licin dari mousefeet bawaan",10 bulan lalu,Varian: M42
TIGER ARC ICE EDITION Hyperglide/Hyperglides - Gaming Mouse Glide/Feet - Viper,10,Sultan,bintang 4,Barang ok 👍,10 bulan lalu,Varian: G102
TIGER ARC ICE EDITION Hyperglide/Hyperglides - Gaming Mouse Glide/Feet - Viper,11,M***e,bintang 5,Barang Berfungsi dengan baik. lebih licin dari biasanya. GG,10 bulan lalu,Varian: G304
TIGER ARC ICE EDITION Hyperglide/Hyperglides - Gaming Mouse Glide/Feet - Viper,12,G***l,bintang 5,none,10 bulan lalu,Varian: G304
TIGER ARC ICE EDITION Hyperglide/Hyperglides - Gaming Mouse Glide/Feet - Viper,13,Fahreza,bintang 5,"pengiriman cepet bgt, barangnya oke lebih licin drpd aslinya viper mini. josss",10 bulan lalu,Varian: Viper Mini
TIGER ARC ICE EDITION Hyperglide/Hyperglides - Gaming Mouse Glide/Feet - Viper,14,Just,bintang 5,"mantap, awalnya pake glassfeet tapi krna ruangan lembab jadi sering keset glassfeetnya, pas balik ke tiger arc licin lagii",11 bulan lalu,Varian: X2 Wireless
TIGER ARC ICE EDITION Hyperglide/Hyperglides - Gaming Mouse Glide/Feet - Viper,15,H***n,bintang 5,Berfungsi dengan baik dan sesuai dengan pesanan,11 bulan lalu,Varian: G304
TIGER ARC ICE EDITION Hyperglide/Hyperglides - Gaming Mouse Glide/Feet - Viper,16,F***f,bintang 5,lebih licin dari bawaan mantap,Lebih dari 1 tahun lalu,Varian: G102
TIGER ARC ICE EDITION Hyperglide/Hyperglides - Gaming Mouse Glide/Feet - Viper,17,zaky,bintang 5,"terbaik lah pokonya legend, mouse gw jadi licin asli",Lebih dari 1 tahun lalu,Varian: Aerox 3
TIGER ARC ICE EDITION Hyperglide/Hyperglides - Gaming Mouse Glide/Feet - Viper,18,Alen,bintang 5,"Micro adjustments lebih enak ini sih dibanding bawaan razer yang udah setahun lebih, lebih tebal punya bawaan razer tapi lebih licin dikit arc",Lebih dari 1 tahun lalu,Varian: Viper Mini
TIGER ARC ICE EDITION Hyperglide/Hyperglides - Gaming Mouse Glide/Feet - Viper,19,Faiz,bintang 5,lumayan feel licin kerasa,Lebih dari 1 tahun lalu,Varian: G102
