Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
"Sades Kunai 3 in 1 Connection Mechanical - Gaming Keyboard - Grey White, Yellow Switch",1,I***g,bintang 5,after sales service oke bgt. sempat ada kendala tapi langsung bisa tukar barang dengan cepat.,10 bulan lalu,Varian: White Grey - Yellow Switch
"Sades Kunai 3 in 1 Connection Mechanical - Gaming Keyboard - Grey White, Yellow Switch",2,Yuuki,bintang 5,"barang udh sampe nih semalem. pertama kali pake agak pegel mungkin karena agak tinggi ya, tapi lama lama terbiasa. keyboard dipakenya juga enak, buat konektivitas nya eng...",Lebih dari 1 tahun lalu,Varian: Grey White - Yellow Switch
"Sades Kunai 3 in 1 Connection Mechanical - Gaming Keyboard - Grey White, Yellow Switch",3,Rezky,bintang 5,"Terima kasih banyak ya min, keyboard nya sudah saya terima dengan kondisi sangat baik dan pengirimannya juga sangat cepat",Lebih dari 1 tahun lalu,Varian: Grey White - Yellow Switch
"Sades Kunai 3 in 1 Connection Mechanical - Gaming Keyboard - Grey White, Yellow Switch",4,Deva,bintang 5,barang bagus,Lebih dari 1 tahun lalu,Varian: White Grey - Yellow Switch
"Sades Kunai 3 in 1 Connection Mechanical - Gaming Keyboard - Grey White, Yellow Switch",5,A***f,bintang 5,mantap barangnya sesuai dengan gambar ygy,Lebih dari 1 tahun lalu,Varian: White Blue - Yellow Switch
"Sades Kunai 3 in 1 Connection Mechanical - Gaming Keyboard - Grey White, Yellow Switch",6,R***l,bintang 5,Keyboardnya mantap dan enak digunakan.,Lebih dari 1 tahun lalu,Varian: White Grey - Yellow Switch
"Sades Kunai 3 in 1 Connection Mechanical - Gaming Keyboard - Grey White, Yellow Switch",7,Snas,bintang 5,"Barang ori sades, datang cpt dan aman, seller responsive dan friendly 👌🏼",Lebih dari 1 tahun lalu,Varian: White Blue - Yellow Switch
"Sades Kunai 3 in 1 Connection Mechanical - Gaming Keyboard - Grey White, Yellow Switch",8,Angga,bintang 5,kualitas top,Lebih dari 1 tahun lalu,Varian: red
"Sades Kunai 3 in 1 Connection Mechanical - Gaming Keyboard - Grey White, Yellow Switch",9,Marini,bintang 5,Keyboardnya mantap dan enak digunakan Build quality-nya terbaik Enak banget buat nge-game,Lebih dari 1 tahun lalu,Varian: brown
"Sades Kunai 3 in 1 Connection Mechanical - Gaming Keyboard - Grey White, Yellow Switch",10,Fathul,bintang 5,"respon seller cepat, barang aman 100% Keyboardnya mantap dan enak digunakan. Enak banget buat nge-game.",Lebih dari 1 tahun lalu,Varian: brown
"Sades Kunai 3 in 1 Connection Mechanical - Gaming Keyboard - Grey White, Yellow Switch",11,A***f,bintang 5,"Keyboardnya mantap 3 in 1 koneksinya , pengiriman cepat sore order sore sampe respon admin cepet juga ,the best👍🔥",Lebih dari 1 tahun lalu,Varian: brown
"Sades Kunai 3 in 1 Connection Mechanical - Gaming Keyboard - Grey White, Yellow Switch",12,Jessica,bintang 5,Keyboardnya mantap dan enak digunakan. Build quality-nya terbaik 👍🏻,Lebih dari 1 tahun lalu,Varian: red
"Sades Kunai 3 in 1 Connection Mechanical - Gaming Keyboard - Grey White, Yellow Switch",13,E***n,bintang 5,Keyboardnya mantap wireless no delay,Lebih dari 1 tahun lalu,Varian: red
"Sades Kunai 3 in 1 Connection Mechanical - Gaming Keyboard - Grey White, Yellow Switch",14,verena,bintang 5,none,Lebih dari 1 tahun lalu,Varian: brown
"Sades Kunai 3 in 1 Connection Mechanical - Gaming Keyboard - Grey White, Yellow Switch",15,Agus,bintang 5,rekomen dah,Lebih dari 1 tahun lalu,Varian: red
"Sades Kunai 3 in 1 Connection Mechanical - Gaming Keyboard - Grey White, Yellow Switch",16,Anogomen,bintang 5,"barang bagus , dan cepat banget proses nya",Lebih dari 1 tahun lalu,Varian: red
"Sades Kunai 3 in 1 Connection Mechanical - Gaming Keyboard - Grey White, Yellow Switch",17,M***d,bintang 5,"Barang ori dan sesuai sama deskripsi, suara yellow switchnya thocc bgt serasa udh di lube sendiri, overall mantap👍👍",Lebih dari 1 tahun lalu,Varian: yellow
"Sades Kunai 3 in 1 Connection Mechanical - Gaming Keyboard - Grey White, Yellow Switch",18,jerry,bintang 5,cakep lah keyboardnya. dongle nya no delay delay.,Lebih dari 1 tahun lalu,Varian: brown
"Sades Kunai 3 in 1 Connection Mechanical - Gaming Keyboard - Grey White, Yellow Switch",19,Andre,bintang 5,none,Lebih dari 1 tahun lalu,Varian: red
"Sades Kunai 3 in 1 Connection Mechanical - Gaming Keyboard - Grey White, Yellow Switch",20,H***A,bintang 5,Setiap ada kamu mengapa jantungku Berdetak lebih kencang Seperti genderang mau perang Setiap ada kamu mengapa darahku Mengalir lebih cepat dari ujung kaki ke ujung kepal...,Lebih dari 1 tahun lalu,Varian: yellow
"Sades Kunai 3 in 1 Connection Mechanical - Gaming Keyboard - Grey White, Yellow Switch",21,W***u,bintang 5,none,Lebih dari 1 tahun lalu,Varian: yellow
"Sades Kunai 3 in 1 Connection Mechanical - Gaming Keyboard - Grey White, Yellow Switch",22,angga,bintang 5,"fungsi dengan normal, semua koneksi bisa terpasang, puas",Lebih dari 1 tahun lalu,Varian: brown
"Sades Kunai 3 in 1 Connection Mechanical - Gaming Keyboard - Grey White, Yellow Switch",23,Andi,bintang 5,Pengiriman sangat cepat Seller responsif Masukan buat kedepannya mungkin packaging bisa lebih rapet biar klo kena ujan ga tembus,Lebih dari 1 tahun lalu,Varian: yellow
"Sades Kunai 3 in 1 Connection Mechanical - Gaming Keyboard - Grey White, Yellow Switch",24,M***M,bintang 5,"barangnya mantab, tapi drivernya gabisa detect",Lebih dari 1 tahun lalu,Varian: yellow
"Sades Kunai 3 in 1 Connection Mechanical - Gaming Keyboard - Grey White, Yellow Switch",25,Mario,bintang 5,"seller cepet proses nya, tp kmrn kehambat di pengiriman aja. overall, it's a good product, worth it.",Lebih dari 1 tahun lalu,Varian: brown
"Sades Kunai 3 in 1 Connection Mechanical - Gaming Keyboard - Grey White, Yellow Switch",26,Wahyu,bintang 4,Mantebb~ mulusss~ kereennn~,Lebih dari 1 tahun lalu,Varian: yellow
"Sades Kunai 3 in 1 Connection Mechanical - Gaming Keyboard - Grey White, Yellow Switch",27,b***n,bintang 5,"sesuai ekspektasi banget, admin ramah, kurir sicepat nya ga ngotak kalo ngirim cepet bgt",Lebih dari 1 tahun lalu,Varian: yellow
"Sades Kunai 3 in 1 Connection Mechanical - Gaming Keyboard - Grey White, Yellow Switch",28,Novan,bintang 5,mantep gimang,Lebih dari 1 tahun lalu,Varian: red
"Sades Kunai 3 in 1 Connection Mechanical - Gaming Keyboard - Grey White, Yellow Switch",29,Edward,bintang 5,bagus keyboardnya,Lebih dari 1 tahun lalu,Varian: brown
