Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
DUROCK Sunflower POM T1 Tactile Switches - NON-LUBE,1,Reza,bintang 5,mantep yang suka tactile,2 bulan lalu,Varian: NON-LUBE
DUROCK Sunflower POM T1 Tactile Switches - NON-LUBE,2,A***m,bintang 5,bagus,Lebih dari 1 tahun lalu,Varian: NON-LUBE
DUROCK Sunflower POM T1 Tactile Switches - NON-LUBE,3,Arie,bintang 5,smooth.. tapi masih lebih sharp jwick t1 sih ya.. tapi ini menang lebih smooth.. jwick QC nya kurang konsisten,Lebih dari 1 tahun lalu,Varian: LUBE VERSION
DUROCK Sunflower POM T1 Tactile Switches - NON-LUBE,4,Delan,bintang 5,Best tactile no doubt. Sayang aja gak long pole jadi buat keyboard north facing harus pake keycaps selain cherry profile,Lebih dari 1 tahun lalu,Varian: NON-LUBE
DUROCK Sunflower POM T1 Tactile Switches - NON-LUBE,5,Andi,bintang 5,mantap,Lebih dari 1 tahun lalu,Varian: NON-LUBE
DUROCK Sunflower POM T1 Tactile Switches - NON-LUBE,6,G***a,bintang 5,"Packaging mantap, beli 3 aja tapi tetep aman Untuk switchnya, ternyata masih lebih enak tecsee purple imo",Lebih dari 1 tahun lalu,Varian: NON-LUBE
DUROCK Sunflower POM T1 Tactile Switches - NON-LUBE,7,A***n,bintang 3,ada yang bengkok,Lebih dari 1 tahun lalu,Varian: NON-LUBE
DUROCK Sunflower POM T1 Tactile Switches - NON-LUBE,8,Adya,bintang 5,tactile nya nendang,Lebih dari 1 tahun lalu,Varian: NON-LUBE
DUROCK Sunflower POM T1 Tactile Switches - NON-LUBE,9,J***n,bintang 5,"lngsung pesan, lngsung datang, lngsung joss",Lebih dari 1 tahun lalu,Varian: LUBE VERSION
DUROCK Sunflower POM T1 Tactile Switches - NON-LUBE,10,G***a,bintang 5,mantep,Lebih dari 1 tahun lalu,Varian: LUBE VERSION
DUROCK Sunflower POM T1 Tactile Switches - NON-LUBE,11,R***i,bintang 1,"barang ok, service kurang ok",Lebih dari 1 tahun lalu,Varian: NON-LUBE
DUROCK Sunflower POM T1 Tactile Switches - NON-LUBE,12,B***G,bintang 5,mantap gans mantap tap tap,Lebih dari 1 tahun lalu,Varian: NON-LUBE
