Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
"FANTECH WGP15 EOS PRO MULTI PLATFORM WIRELESS GAMEPAD - WHITE, NON DOCKING",1,Ade,bintang 5,mantab luar biasa gamepadnya😀,1 hari lalu,Varian: BLUE - NON DOCKING
"FANTECH WGP15 EOS PRO MULTI PLATFORM WIRELESS GAMEPAD - WHITE, NON DOCKING",2,K***d,bintang 5,mantaap barang nyaa solid bagus,2 hari lalu,Varian: WHITE - NON DOCKING
"FANTECH WGP15 EOS PRO MULTI PLATFORM WIRELESS GAMEPAD - WHITE, NON DOCKING",3,Novaldi,bintang 5,"Bagus, packingnya rapih",2 hari lalu,Varian: WHITE - NON DOCKING
"FANTECH WGP15 EOS PRO MULTI PLATFORM WIRELESS GAMEPAD - WHITE, NON DOCKING",4,Firman,bintang 5,"Mantaappp, Pengirimannya cepet banget dan barang ajibb bener",4 hari lalu,Varian: WHITE - NON DOCKING
"FANTECH WGP15 EOS PRO MULTI PLATFORM WIRELESS GAMEPAD - WHITE, NON DOCKING",5,I,bintang 5,Barang bagus dan pengiriman mantap Seller ok,5 hari lalu,Varian: BLACK - NON DOCKING
"FANTECH WGP15 EOS PRO MULTI PLATFORM WIRELESS GAMEPAD - WHITE, NON DOCKING",6,Harto,bintang 5,"Harga tidak bohong, produk buat pemain serasa pro player, barang kokoh dan berat, koneksi ada dongle, atau kabel, atau bluetooth.. yg hobi main game rekomend banget beli...",1 minggu lalu,Varian: BLUE - NON DOCKING
"FANTECH WGP15 EOS PRO MULTI PLATFORM WIRELESS GAMEPAD - WHITE, NON DOCKING",7,Avila,bintang 5,"Barang sampai dengan baik packaging rapih dan tebal terima kasih banyak, semoga sukses selalu.",1 minggu lalu,Varian: WHITE - NON DOCKING
"FANTECH WGP15 EOS PRO MULTI PLATFORM WIRELESS GAMEPAD - WHITE, NON DOCKING",8,Christian,bintang 5,"sudah di unbox, sofar fisik device belum nemu minus nya, udh ditest jg bbrp game juga OK,",1 minggu lalu,Varian: BLACK - NON DOCKING
"FANTECH WGP15 EOS PRO MULTI PLATFORM WIRELESS GAMEPAD - WHITE, NON DOCKING",9,Angga,bintang 5,"overall semua oke, no delay, circularity error dibawah 1%",1 bulan lalu,Varian: BLUE - NON DOCKING
"FANTECH WGP15 EOS PRO MULTI PLATFORM WIRELESS GAMEPAD - WHITE, NON DOCKING",10,A***n,bintang 5,Di awal awal tuh bingung sebenernya ini controller cara connectnya gimana dan apa aja fiturnya. Makin kesini makin paham. Gausah ragu dah sama kualitas ini controller. Ma...,1 bulan lalu,Varian: BLACK - +DOCKING
"FANTECH WGP15 EOS PRO MULTI PLATFORM WIRELESS GAMEPAD - WHITE, NON DOCKING",11,Y***a,bintang 5,"barang berfungsi dengan baik, semoga awet.",1 bulan lalu,Varian: BLUE - NON DOCKING
"FANTECH WGP15 EOS PRO MULTI PLATFORM WIRELESS GAMEPAD - WHITE, NON DOCKING",12,Aqilas,bintang 5,"Barangnya bagus, tp pas terima triggernya agak seret.Report ke seller dan ditangani CS Penanganan seller OK,brg diretur dan diperbaiki (tdk diganti yg baru).Skrg sdh di d...",1 bulan lalu,Varian: BLACK - NON DOCKING
"FANTECH WGP15 EOS PRO MULTI PLATFORM WIRELESS GAMEPAD - WHITE, NON DOCKING",13,Astro,bintang 5,none,2 bulan lalu,Varian: BLUE - NON DOCKING
"FANTECH WGP15 EOS PRO MULTI PLATFORM WIRELESS GAMEPAD - WHITE, NON DOCKING",14,D***a,bintang 5,selalu terbaik,2 bulan lalu,Varian: BLACK - +DOCKING
"FANTECH WGP15 EOS PRO MULTI PLATFORM WIRELESS GAMEPAD - WHITE, NON DOCKING",15,R***i,bintang 4,untuk tombol LT RT gaada pressurenya jadi mungkin untuk beberapa gamer yang suka main game racing akan merasa gamepad ini kurang enak bahkan cenderung gaenak (bahkan logi...,2 bulan lalu,Varian: WHITE - NON DOCKING
"FANTECH WGP15 EOS PRO MULTI PLATFORM WIRELESS GAMEPAD - WHITE, NON DOCKING",16,pandhodho,bintang 5,"barang sudah sampai dengan selamat dan aman, terima kasih... 👍😀",2 bulan lalu,Varian: BLACK - NON DOCKING
"FANTECH WGP15 EOS PRO MULTI PLATFORM WIRELESS GAMEPAD - WHITE, NON DOCKING",17,Fenny,bintang 5,murah semoga awet,2 bulan lalu,Varian: BLUE - +DOCKING
"FANTECH WGP15 EOS PRO MULTI PLATFORM WIRELESS GAMEPAD - WHITE, NON DOCKING",18,Dion,bintang 5,"barang mantab, sampai dengan selamat, warnanya keren... error analog <1% tidak neko2 dan pengiriman cepat. recommended seller",2 bulan lalu,Varian: WHITE - NON DOCKING
"FANTECH WGP15 EOS PRO MULTI PLATFORM WIRELESS GAMEPAD - WHITE, NON DOCKING",19,Rosyid,bintang 5,Pengiriman sat set sat set... Packing aman,2 bulan lalu,Varian: BLACK - NON DOCKING
"FANTECH WGP15 EOS PRO MULTI PLATFORM WIRELESS GAMEPAD - WHITE, NON DOCKING",20,Faris,bintang 5,gadapet stiker):,2 bulan lalu,Varian: WHITE - +DOCKING
