Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
Ekstra Packaging Kardus,1,L***n,bintang 5,aman banget dari bantingan orang gudang expedisi,6 hari lalu,none
Ekstra Packaging Kardus,2,Andri,bintang 5,"Respon seller sangat baik 👍 dan responsif ⚡, Barangnya original ✅, garansi resmi, kualitas produk sangat baik 💯, Packaging sangat baik dan aman 📦, harga bersaing 🔖",2 minggu lalu,none
Ekstra Packaging Kardus,3,Ghazy,bintang 5,"malah ga ada ekstra packaging kardus, bisa termasuk nipu lho min",2 minggu lalu,none
Ekstra Packaging Kardus,4,Valentino,bintang 5,"mantap wak, tebel banget wkwkw",3 minggu lalu,none
Ekstra Packaging Kardus,5,Sugiarto,bintang 5,cocokk,1 bulan lalu,none
Ekstra Packaging Kardus,6,R***n,bintang 4,ya ternyata dus potongan bukan dus yang besar,2 bulan lalu,none
Ekstra Packaging Kardus,7,D***u,bintang 5,kardus potongan biasa aja,3 bulan lalu,none
Ekstra Packaging Kardus,8,liyuus,bintang 5,"proses wus wus, dateng dgn aman+mulus~",6 bulan lalu,none
Ekstra Packaging Kardus,9,Vico,bintang 5,meminimalisir box penyok2,8 bulan lalu,none
Ekstra Packaging Kardus,10,T***o,bintang 5,aman,11 bulan lalu,none
Ekstra Packaging Kardus,11,i***a,bintang 5,pesen mouse nambah ini 2pcs aja udh byk bgt. amann gaada peyok,Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,12,Ryan,bintang 5,Packing benar2 aman banget. Ga nyesel tambah Ekstra Dus. Terima Kasih,Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,13,Sugiarto,bintang 5,"Kardus sampai dengan keadaan yang baik, tidak penyok samsek karena di lapisi dengan bubble wrap hitam di atasnya, bahan kardusnya tebal dan ada tulisan toko di sebelah ka...",Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,14,indrawan,bintang 5,"packing rapi, double packing",Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,15,Andra,bintang 5,dijamin ngardus,Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,16,Matthew,bintang 5,"Barang dateng dengan kondisi sangat baik dan packaging nya sangat tebal, saya sangat senang berbelanja di toko ini",Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,17,I***n,bintang 1,"Penjual tidak berkemas, meskipun saya membayarnya",Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,18,Hayqal,bintang 5,packing aman,Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,19,Nick,bintang 4,yang kurang itu bagian samping kanan kiri nggak ada kardus,Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,20,Elin,bintang 5,sangat puas,Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,21,B***a,bintang 5,mantap,Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,22,A***f,bintang 1,"Beli banyak barang gak ada ekstra kardus samsek, ketolong wrap tebel aja.",Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,23,Matthew,bintang 5,"Barang dateng dengan kondisi sangat baik dan packaging nya sangat tebal, saya sangat senang berbelanja di toko ini",Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,24,Muhammad,bintang 5,packing nya mantap,Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,25,J***n,bintang 5,mantab,Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,26,Ikhwan,bintang 2,mending beli di imkg klo switch packagingnya lebih aman,Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,27,Ikhwan,bintang 2,packaging untuk switch mengerikan,Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,28,Dodi,bintang 5,sip,Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,29,R***i,bintang 5,"tebal, mantapp, Kuat",Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,30,Matthew,bintang 5,"Barang dateng dengan kondisi sangat baik dan packaging nya sangat tebal, saya sangat senang berbelanja di toko ini",Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,31,A***a,bintang 5,puasss banggeeetttt. thank you seller 😊,Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,32,N***a,bintang 5,"wajib bgt pake ekstra dus....dus tambahan yg dipake jg tebal bukan dus lemes biasa, ini kaku dan kuat. Bikin paketnya super aman, thanks",Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,33,P***t,bintang 5,cukup melindungi barang selama di ekspedisi,Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,34,Samuel,bintang 5,"Ggs mantep banget, dus engga lupa ditambab bubble wrapnya lbh panjang dari mobil ⭐️⭐️⭐️⭐️⭐️⭐️⭐️",Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,35,M***d,bintang 5,mantap aman,Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,36,Samuel,bintang 1,"Tidak dipacking dus, tp sudah refund. Semoga lebih teliti karena dus produk dalam keadaan baik penting untuk saya",Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,37,Agus,bintang 5,"sipp, aman....",Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,38,Adhyatma,bintang 5,Kardus,Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,39,BenZ,bintang 5,Packing mantul. Anti penyok2....,Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,40,N***i,bintang 5,"Nah ini manteb nih, pake ini jadi tebal dan aman bgt paketnya jos, wajib nambah ini kalo beli2 lagi...klo engga hampir selalu penyok2 dusnya 🥲, pake ekstra bubble+dus am...",Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,41,Samasta,bintang 5,kardusnya mantep... pasti berkualitas soalnya pake kardus rexus,Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,42,g***t,bintang 2,"kardus hanya diberi di dua sisi, tidak full",Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,43,Andre,bintang 5,tebal dan besar,Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,44,A***l,bintang 5,kardus cukup rapi dan tebal,Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,45,F***a,bintang 5,gak terlalu besar tpi sangat membantu,Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,46,ryolandneko,bintang 5,seperti kardus,Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,47,Hafidz,bintang 4,Kardus ekstra untuk Glorious Model O bagus,Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,48,M***d,bintang 5,"mantab, barang sesuai pesanan, prosesnya cepat.. recommended",Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,49,Aditya,bintang 4,"bagusnya di lapis bubble wrap dulu, kardus, baru lapis plastik luarnya, kalo cuma dus langsung tetep penyok",Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,50,zach,bintang 5,Kardus nya mantap,Lebih dari 1 tahun lalu,none
Ekstra Packaging Kardus,51,dafa,bintang 5,GG,Lebih dari 1 tahun lalu,none
