Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
Digital Alliance MyCam - Webcam,1,Rezkirfan,bintang 5,"Belum jajal, mudah2an aman",Lebih dari 1 tahun lalu,none
Digital Alliance MyCam - Webcam,2,andaris,bintang 4,"Joss Gandhoss, Recomended Seller👍👍👍👍",Lebih dari 1 tahun lalu,none
Digital Alliance MyCam - Webcam,3,Rahadian,bintang 5,"paket aman beserta isinya. kualitas gambar sesuai dgn harga. kalau gelap, noise cukup parah. dgn cahaya cukup, gambar oke",Lebih dari 1 tahun lalu,none
Digital Alliance MyCam - Webcam,4,Andrew,bintang 5,lumayan nih kualitasnya buat webcam seharga segini,Lebih dari 1 tahun lalu,none
Digital Alliance MyCam - Webcam,5,Harjanto,bintang 5,"respon cepat, packing bagus",Lebih dari 1 tahun lalu,none
Digital Alliance MyCam - Webcam,6,S***i,bintang 4,barang sampai dengan selamat. packing rapi dan memakai bubble. Siip dah,Lebih dari 1 tahun lalu,none
Digital Alliance MyCam - Webcam,7,ella,bintang 5,Barang berfungsi dengan baik dan kualitasnya bagus dengan harga segini,Lebih dari 1 tahun lalu,none
Digital Alliance MyCam - Webcam,8,T***s,bintang 5,Cusss,Lebih dari 1 tahun lalu,none
Digital Alliance MyCam - Webcam,9,Muhamad,bintang 5,mantull,Lebih dari 1 tahun lalu,none
Digital Alliance MyCam - Webcam,10,Great,bintang 5,boleh lah di test dulu,Lebih dari 1 tahun lalu,none
Digital Alliance MyCam - Webcam,11,S***i,bintang 5,"produk sesuai deskripsi, kualitas gambarnya ok",Lebih dari 1 tahun lalu,none
Digital Alliance MyCam - Webcam,12,Donna,bintang 5,Produknya berfungsi dengan baik dan bagus,Lebih dari 1 tahun lalu,none
