Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
Glorious Series One PRO Lightweight USB Optical Gaming Mouse - Genos Yellow,1,Jacky,bintang 5,Gacor mousenya,4 bulan lalu,Varian: Centauri Red
Glorious Series One PRO Lightweight USB Optical Gaming Mouse - Genos Yellow,2,B***n,bintang 5,none,8 bulan lalu,Varian: Vidar Blue
Glorious Series One PRO Lightweight USB Optical Gaming Mouse - Genos Yellow,3,Blaster,bintang 5,"shape seperti viper mini, sensor dll sih no complain, harusnya sih sdh pakai mcu nordic jadi wirelessnya no delay, sayang aja switchnya blom optical",8 bulan lalu,Varian: Centauri Red
Glorious Series One PRO Lightweight USB Optical Gaming Mouse - Genos Yellow,4,escebel,bintang 5,best mouse everrrrr,8 bulan lalu,Varian: Vidar Blue
Glorious Series One PRO Lightweight USB Optical Gaming Mouse - Genos Yellow,5,Calvin,bintang 5,"pengiriman cepat kmren d pesen hari ini sampe pdhl pengiriman reguler. mouse berfungsi dengan baik sejauh ini. bener"" worth to price si di harga segini dpt mouse high...",8 bulan lalu,Varian: Vidar Blue
Glorious Series One PRO Lightweight USB Optical Gaming Mouse - Genos Yellow,6,Satura,bintang 5,"Harganya turun lumayan loh 400-500rb an, kualitas tetap mantap👍",9 bulan lalu,Varian: Centauri Red
Glorious Series One PRO Lightweight USB Optical Gaming Mouse - Genos Yellow,7,P***o,bintang 5,sangat worth diharga promo 👍,9 bulan lalu,Varian: Centauri Red
Glorious Series One PRO Lightweight USB Optical Gaming Mouse - Genos Yellow,8,Kenji,bintang 5,so far so good,11 bulan lalu,Varian: Centauri Red
Glorious Series One PRO Lightweight USB Optical Gaming Mouse - Genos Yellow,9,Benedictus,bintang 5,"manteb, pengiriman cepet, aman, mouse juga sejauh ini dipake aman"" aja, & g ada rattle sama sekali",11 bulan lalu,Varian: Genos Yellow
Glorious Series One PRO Lightweight USB Optical Gaming Mouse - Genos Yellow,10,M***d,bintang 5,none,Lebih dari 1 tahun lalu,Varian: Vidar Blue
Glorious Series One PRO Lightweight USB Optical Gaming Mouse - Genos Yellow,11,Avolina,bintang 1,"mouse baru dipakai less than week, sudah rusak, censor doesn't work, can I get replacement? Thank you",Lebih dari 1 tahun lalu,Varian: Centauri Red
Glorious Series One PRO Lightweight USB Optical Gaming Mouse - Genos Yellow,12,Yohanes,bintang 5,"Note: Klo layout review gw berantakan, ini tokpednya yg error, soalnya di mobile tampilannya normal. Review dari gw buat mouse yg bs dibilang hidden gem karena dia limite...",Lebih dari 1 tahun lalu,Varian: Vidar Blue
