Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",1,ANDI,bintang 5,Mantap ini budget switch. Setelah dilube makin maknyosss,Lebih dari 1 tahun lalu,Varian: RADIANT RED - 45pcs
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",2,Felix,bintang 5,Mantap suara akko udah dilubing enak bet,Lebih dari 1 tahun lalu,Varian: RADIANT RED
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",3,s***a,bintang 5,mantap,Lebih dari 1 tahun lalu,Varian: RADIANT RED
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",4,Fariz,bintang 5,mantep packing rapi,Lebih dari 1 tahun lalu,Varian: MATCHA GREEN
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",5,DimasDim,bintang 5,long spring lebih enak dari jelly white & pink,Lebih dari 1 tahun lalu,Varian: VINTAGE WHITE
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",6,Erwin,bintang 5,Kedua kali belanja disini selalu memuaskan,Lebih dari 1 tahun lalu,Varian: OCEAN BLUE
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",7,Faris,bintang 5,Produk orisinal,Lebih dari 1 tahun lalu,Varian: OCEAN BLUE
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",8,jose,bintang 5,"Barang oke, satu pin bengkok cuma mungkin hal yang normal karena di pengiriman bisa jadi penyebab bengkoknya. Bisa dilusursin pake pinset aja gampang kok",Lebih dari 1 tahun lalu,Varian: OCEAN BLUE
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",9,Dafiuddin,bintang 5,blum dicoba karena paketnya aja blum dibuka wkwkwkwkw,Lebih dari 1 tahun lalu,Varian: OCEAN BLUE
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",10,A***s,bintang 5,Build quality-nya terbaik.,Lebih dari 1 tahun lalu,Varian: RADIANT RED
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",11,C***n,bintang 5,Enak banget buat nge-game. Build quality-nya terbaik.,Lebih dari 1 tahun lalu,Varian: VINTAGE WHITE
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",12,Dennis,bintang 5,Ingin mencoba tactille lagi. Keknya kurang cocok wkkwwkwkk,Lebih dari 1 tahun lalu,Varian: OCEAN BLUE
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",13,W***u,bintang 5,none,Lebih dari 1 tahun lalu,Varian: OCEAN BLUE
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",14,usm,bintang 5,none,Lebih dari 1 tahun lalu,Varian: VINTAGE WHITE
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",15,a***r,bintang 3,saya kurang suka dengan packagingnya namun barangnya aman jadi saya kasih bintang 3,Lebih dari 1 tahun lalu,Varian: RADIANT RED
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",16,Muhammad,bintang 5,Cocok dengan outemu. packing sudah bagus tapi tadi ada 1 pin bengkok. mungkin kedepannya untuk yang eceran bisa dimasukkan plastik kecil dulu baru dilapisin kardus dan buble.,Lebih dari 1 tahun lalu,Varian: RADIANT RED
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",17,n***l,bintang 5,Keyboardnya mantap dan enak digunakan. Enak banget buat nge-game. Build quality-nya terbaik.,Lebih dari 1 tahun lalu,Varian: ROSE RED
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",18,chocoberry,bintang 5,Keyboardnya mantap dan enak digunakan. Enak banget buat nge-game. Build quality-nya terbaik.,Lebih dari 1 tahun lalu,Varian: RADIANT RED
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",19,Y***s,bintang 5,Asik dapet box juga,Lebih dari 1 tahun lalu,Varian: MATCHA GREEN
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",20,nzr,bintang 5,"budget 4 rebuan memang mantap banget akko ini. menurut ane lebih baik daripada gateron yellow (jika suka linear). menurut ane yellow ini agak beratan, sedangkan matcha ini sangat smooth bahkan kondisi stock aja sudah puas. kalo radiant red ini paling suka suaranya yg ngethock banget cocok ditaroh di tombol yg ada stabilizer nya (space, shift, enter, backspace) untuk pelayanannya mantap, ane cuma mesen masing masing 34 switch tetap dikasih 2 kotak wkwk. walaupun dipackgingnya lama (sisa beberapa jam lgi waktu habis baru diproses barangnya).",Lebih dari 1 tahun lalu,Varian: RADIANT RED
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",21,D***n,bintang 5,"barangnya kualitasnya bagus, dapet box nya sendiri lagi",Lebih dari 1 tahun lalu,Varian: MATCHA GREEN
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",22,S***y,bintang 5,none,Lebih dari 1 tahun lalu,Varian: OCEAN BLUE
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",23,R***i,bintang 5,mantaaaap,Lebih dari 1 tahun lalu,Varian: MATCHA GREEN
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",24,Christian,bintang 5,Danke.,Lebih dari 1 tahun lalu,Varian: LAVENDER PURPLE
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",25,R***y,bintang 5,Biarkan bintang yang berbicara...,Lebih dari 1 tahun lalu,Varian: LAVENDER PURPLE
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",26,brian,bintang 5,Build quality-nya terbaik.,Lebih dari 1 tahun lalu,Varian: LAVENDER PURPLE
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",27,Adrian,bintang 5,tactilitynya emejingg dan ga ada pretravel jadi straight to the bump 👌,Lebih dari 1 tahun lalu,Varian: LAVENDER PURPLE
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",28,D***d,bintang 5,"pengiriman cepat, switchnya jg mntap",Lebih dari 1 tahun lalu,Varian: LAVENDER PURPLE
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",29,J***n,bintang 5,Keyboardnya mantap dan enak digunakan. Build quality-nya terbaik. Enak banget buat nge-game.,Lebih dari 1 tahun lalu,Varian: LAVENDER PURPLE
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",30,Andy,bintang 5,SEDAPPP ADMINYA FAST RESPOND,Lebih dari 1 tahun lalu,Varian: RADIANT RED
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",31,edward,bintang 5,Crispy,Lebih dari 1 tahun lalu,Varian: LAVENDER PURPLE
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",32,Muhammad,bintang 5,"suara ""thock""nya manteb buat ngetikEnak banget buat nge-game. Build quality-nya terbaik.",Lebih dari 1 tahun lalu,Varian: VINTAGE WHITE
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",33,akbar,bintang 5,Build quality-nya terbaik.,Lebih dari 1 tahun lalu,Varian: ROSE RED
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",34,Dwi,bintang 5,"mantap, lebih smooth dari outemu red yang udah di lube, lebih thocky dari yang rose red, switch stocknya emang agak pingy, setelah dilube jadi mantep banget di harganya, dus packing akko-nya mantep,dan harga akko cs switch yang paling murah ya di GGS ini",Lebih dari 1 tahun lalu,Varian: MATCHA GREEN
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",35,M***d,bintang 2,pesen 84 cuma dikasih 80,Lebih dari 1 tahun lalu,Varian: MATCHA GREEN
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",36,Rafif,bintang 5,linear emang terbaik,Lebih dari 1 tahun lalu,Varian: MATCHA GREEN
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",37,A***d,bintang 5,"mantap, barang ok tidak ada masalah",Lebih dari 1 tahun lalu,Varian: LAVENDER PURPLE
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",38,Rizki,bintang 5,none,Lebih dari 1 tahun lalu,Varian: MATCHA GREEN - SATUAN
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",39,M,bintang 5,"enak bgt, recommended pokoknya. buat bottoming out nya emg agak berat tp ga sampe yg bikin ngeganggu",Lebih dari 1 tahun lalu,Varian: MATCHA GREEN - SATUAN
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",40,Zaidan,bintang 5,"pengiriman ngebut, packaging rapih, jumlah sesuai, dapet stiker pula ... mantap 👍👍👍",Lebih dari 1 tahun lalu,Varian: RADIANT RED - SATUAN
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",41,A***i,bintang 5,produknya bagus 👍🏻👍🏻,Lebih dari 1 tahun lalu,Varian: OCEAN BLUE - SATUAN
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",42,Olvin,bintang 5,none,Lebih dari 1 tahun lalu,Varian: VINTAGE WHITE - PER BOX
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",43,Abdurrahman,bintang 5,Barang sampai dengan selamat. admin nya responsif,Lebih dari 1 tahun lalu,Varian: ROSE RED - SATUAN
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",44,A***n,bintang 5,Isi box lengkap 45pcs.,Lebih dari 1 tahun lalu,Varian: OCEAN BLUE - PER BOX
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",45,R***i,bintang 5,mantep,Lebih dari 1 tahun lalu,Varian: VINTAGE WHITE - SATUAN
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",46,Iqbal,bintang 5,Packing ama barang bagus cuman kedepannya keterangannya ditulis kalau beli min 45 dapat box atau tidak,Lebih dari 1 tahun lalu,Varian: RADIANT RED - SATUAN
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",47,Ricky,bintang 5,"kemarin pesen, besoknya nyampe dong, nice",Lebih dari 1 tahun lalu,Varian: ROSE RED - SATUAN
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",48,Pascal,bintang 5,none,Lebih dari 1 tahun lalu,Varian: RADIANT RED - SATUAN
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",49,rifky,bintang 5,Sip,Lebih dari 1 tahun lalu,Varian: ROSE RED - PER BOX
"AKKO CS SWITCH MECHANICAL KEYBOARD - ROSE RED, 1pcs",50,Pascal,bintang 5,"Gila di GGS switch akko lebih murah dari pada di toko lain XD,",Lebih dari 1 tahun lalu,Varian: VINTAGE WHITE - PER BOX
