Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
GLORIOUS PANDA TOY,1,Egan,bintang 5,barang ok sangat sesuai dengan ekspektasi,1 minggu lalu,none
GLORIOUS PANDA TOY,2,danny,bintang 4,mayan,Lebih dari 1 tahun lalu,none
GLORIOUS PANDA TOY,3,Nanda,bintang 5,Packing rapih dan respon penjual cepat! Thank You GGS!,Lebih dari 1 tahun lalu,none
GLORIOUS PANDA TOY,4,Jefferson,bintang 5,"gooddd, syg cuma bkin toys 1 tipe doang",Lebih dari 1 tahun lalu,none
GLORIOUS PANDA TOY,5,e***g,bintang 5,none,Lebih dari 1 tahun lalu,none
GLORIOUS PANDA TOY,6,Yudhi,bintang 5,"Mainan lucu-lucu an buat menghias meja kerja. Barang original, packing aman pelayanan oke.",Lebih dari 1 tahun lalu,none
GLORIOUS PANDA TOY,7,H***y,bintang 5,Keren dan lucu. Mantab.,Lebih dari 1 tahun lalu,none
GLORIOUS PANDA TOY,8,Fernandi,bintang 5,Barang aman sesuai deskripsi. Sumpah lucu banget! Worth sih harga segitu buat pajangan di desk setup. Pengiriman cepat padahal baru order kemarin sore tapi langsung dikir...,Lebih dari 1 tahun lalu,none
GLORIOUS PANDA TOY,9,Khrisna,bintang 5,meng-gemas,Lebih dari 1 tahun lalu,none
GLORIOUS PANDA TOY,10,Hon,bintang 5,none,Lebih dari 1 tahun lalu,none
