Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
NYK Nemesis Rogue GP200 Multiplatform Wireless - Gamepad - Black,1,Fariz,bintang 5,"dikira gede controllernya, ternyata cukup kecil di tangan. gak liat jg kalo layout buttonnya itu nds, bukan xbox. build qualitynya sih so-so, sesuai sama harga lah.",5 bulan lalu,Varian: White
NYK Nemesis Rogue GP200 Multiplatform Wireless - Gamepad - Black,2,Faisal,bintang 5,"11 12 sama brand sebelah bedanya ini ga punya backlit dan pengaturannya kurang family friendly, overall tetep asik kok kalo udah dipake",9 bulan lalu,Varian: Yellow
NYK Nemesis Rogue GP200 Multiplatform Wireless - Gamepad - Black,3,M***d,bintang 5,nice lah,Lebih dari 1 tahun lalu,Varian: White
NYK Nemesis Rogue GP200 Multiplatform Wireless - Gamepad - Black,4,A***u,bintang 5,"Barang original. Respon seller cepat, informatif juga. Semoga awet",Lebih dari 1 tahun lalu,Varian: Yellow
NYK Nemesis Rogue GP200 Multiplatform Wireless - Gamepad - Black,5,W***h,bintang 5,"Packing Bagus. kelengkapan sesuai. garansi resmi.  sudah di coba dan barang lancar, semua tombol nya smooth dipakai nya, semoga awet, Terima Kasih",Lebih dari 1 tahun lalu,Varian: White
NYK Nemesis Rogue GP200 Multiplatform Wireless - Gamepad - Black,6,Ernest,bintang 5,"pemakaian 2 hari, puas banget untuk gamepad N-S budget udah cukup baik, buat tangan yang besar juga cocok +seller responsive",Lebih dari 1 tahun lalu,Varian: White
NYK Nemesis Rogue GP200 Multiplatform Wireless - Gamepad - Black,7,F***s,bintang 5,garansi resmi. kelengkapan sesuai. Packing Bagus.,Lebih dari 1 tahun lalu,Varian: White
NYK Nemesis Rogue GP200 Multiplatform Wireless - Gamepad - Black,8,Alfian,bintang 5,"barang normal,berkerja dengan baik buat main FIFA enak, cuma layout ketuker Kl pakai mode bluetooth",Lebih dari 1 tahun lalu,Varian: White
NYK Nemesis Rogue GP200 Multiplatform Wireless - Gamepad - Black,9,Achmadnurcholis,bintang 5,kelengkapan sesuai. Harganya bersaing. Barang berfungsi dengan baik,Lebih dari 1 tahun lalu,Varian: White
NYK Nemesis Rogue GP200 Multiplatform Wireless - Gamepad - Black,10,Alfan,bintang 5,puas banged sama produknya bagus dan keren jg makasih goodgaming,Lebih dari 1 tahun lalu,Varian: Yellow
NYK Nemesis Rogue GP200 Multiplatform Wireless - Gamepad - Black,11,Alexander,bintang 5,produknya mantapp,Lebih dari 1 tahun lalu,Varian: Yellow
NYK Nemesis Rogue GP200 Multiplatform Wireless - Gamepad - Black,12,F***i,bintang 5,Packing Bagus. bener2 tebeelll,Lebih dari 1 tahun lalu,Varian: White
NYK Nemesis Rogue GP200 Multiplatform Wireless - Gamepad - Black,13,Cahya,bintang 5,barang cepat sampai dan sesuai pesanan,Lebih dari 1 tahun lalu,Varian: Black
