Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
"Zaku Switch Linear 63,5g PCB Mount - Keyboard Switch",1,R***t,bintang 5,none,4 bulan lalu,none
"Zaku Switch Linear 63,5g PCB Mount - Keyboard Switch",2,Creaf,bintang 5,seller respon cepat.. terbaik barang baguss,4 bulan lalu,none
"Zaku Switch Linear 63,5g PCB Mount - Keyboard Switch",3,Zidan,bintang 5,"agak kurang ternyata untuk harganya, ga begitu clack dan berisik tapi overall oke sih. kondisi stock kering no lube dan cukup smooth walaupun stock spring agak pinging, s...",4 bulan lalu,none
"Zaku Switch Linear 63,5g PCB Mount - Keyboard Switch",4,Alexander,bintang 5,"snappy, halus, cm agak wobble stemnya & sdikit spring crunch. Lumayan buat stock",6 bulan lalu,none
"Zaku Switch Linear 63,5g PCB Mount - Keyboard Switch",5,Muhammad,bintang 5,Clacky and loud. Good.,6 bulan lalu,none
"Zaku Switch Linear 63,5g PCB Mount - Keyboard Switch",6,S***a,bintang 5,Mantap dah switchny,7 bulan lalu,none
"Zaku Switch Linear 63,5g PCB Mount - Keyboard Switch",7,Fadhli,bintang 5,"Beli buat bandingin sama gateron cj box; Stock : clacknya lebih high pitch, lebih snappy karena double spring tapi kekurangannya lebih wobble, stock scratchy, kurang smoo...",10 bulan lalu,none
"Zaku Switch Linear 63,5g PCB Mount - Keyboard Switch",8,Anjar,bintang 5,"Paket sampai dengan aman, sesuai deskripsi, terima kasih yaaa,..",10 bulan lalu,none
"Zaku Switch Linear 63,5g PCB Mount - Keyboard Switch",9,Richard,bintang 5,buat yg sering tactile dan mau beralih ke linear ini recommended banget sih,11 bulan lalu,none
"Zaku Switch Linear 63,5g PCB Mount - Keyboard Switch",10,LBXBuilder,bintang 4,"4 Bintang karena bintang terakhir itu untuk versi yang sudah di lube+film ( top of the top ). Gambar pertama ( karena yang pertama itu video ), itu sisa Zaku Switch yang...",11 bulan lalu,none
"Zaku Switch Linear 63,5g PCB Mount - Keyboard Switch",11,A***s,bintang 5,pretty good to go stock 👍🏻 also fun to type on ✨,11 bulan lalu,none
"Zaku Switch Linear 63,5g PCB Mount - Keyboard Switch",12,Yoga,bintang 5,ini switch thocky banget setelah lube krytox 205g0 sama filmed deskey 0.3mm,Lebih dari 1 tahun lalu,none
"Zaku Switch Linear 63,5g PCB Mount - Keyboard Switch",13,Reggie,bintang 5,"worked all, mantap",Lebih dari 1 tahun lalu,none
"Zaku Switch Linear 63,5g PCB Mount - Keyboard Switch",14,F***o,bintang 5,"harus di lube sih, tapi suaranya emang mantap",Lebih dari 1 tahun lalu,none
"Zaku Switch Linear 63,5g PCB Mount - Keyboard Switch",15,Y***i,bintang 5,"Barang di terima dengan baik, dan bagus",Lebih dari 1 tahun lalu,none
"Zaku Switch Linear 63,5g PCB Mount - Keyboard Switch",16,Christrianto,bintang 5,clacky...tp agak scratchy...mesti relube...mantap,Lebih dari 1 tahun lalu,none
"Zaku Switch Linear 63,5g PCB Mount - Keyboard Switch",17,Rivandi,bintang 5,Build quality-nya terbaik,Lebih dari 1 tahun lalu,none
"Zaku Switch Linear 63,5g PCB Mount - Keyboard Switch",18,Juno,bintang 5,switch langka hati2 kehabisan,Lebih dari 1 tahun lalu,none
"Zaku Switch Linear 63,5g PCB Mount - Keyboard Switch",19,Muhamad,bintang 5,"S-tier switch, stock lumayan smooth dan oke suaranya di PC plate.",Lebih dari 1 tahun lalu,none
