Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
"MECHANICAL KEYBOARD SWITCH LUBES KRYTOX GPL105 GPL205 AND BRUSH - GPL105, 2 Gram",1,Jack,bintang 5,Secara barang ok namun jumlahnya agak sedikit.,5 bulan lalu,Varian: GPL205 - 2 Gram
"MECHANICAL KEYBOARD SWITCH LUBES KRYTOX GPL105 GPL205 AND BRUSH - GPL105, 2 Gram",2,Nixon,bintang 4,Dijudul lube & brush tapi gak dapet brush,7 bulan lalu,Varian: GPL105 - 2 Gram
"MECHANICAL KEYBOARD SWITCH LUBES KRYTOX GPL105 GPL205 AND BRUSH - GPL105, 2 Gram",3,B***a,bintang 5,"Sampai dengan aman, tinggal di pakai biar lebih thock",8 bulan lalu,Varian: GPL205 - 2 Gram
"MECHANICAL KEYBOARD SWITCH LUBES KRYTOX GPL105 GPL205 AND BRUSH - GPL105, 2 Gram",4,Rofik,bintang 5,"Pengemasan oke, pengiriman cepat bgt. reguler tapi bsoknya nyampe",9 bulan lalu,Varian: GPL205g0 - 2 Gram
"MECHANICAL KEYBOARD SWITCH LUBES KRYTOX GPL105 GPL205 AND BRUSH - GPL105, 2 Gram",5,Warbrain,bintang 5,Thank you gan. Respon dan pengiriman cepet banget.,10 bulan lalu,Varian: GPL205g0 - 2 Gram
"MECHANICAL KEYBOARD SWITCH LUBES KRYTOX GPL105 GPL205 AND BRUSH - GPL105, 2 Gram",6,Anjar,bintang 5,paket sampai dengan aman sesuai deskripsi terima kasih yaaa,10 bulan lalu,Varian: GPL205g0 - 2 Gram
"MECHANICAL KEYBOARD SWITCH LUBES KRYTOX GPL105 GPL205 AND BRUSH - GPL105, 2 Gram",7,Fadlian,bintang 5,"lube nya ngumpul di pinggir2, performa normal as expected dari 205g0",11 bulan lalu,Varian: GPL205g0 - 2 Gram
"MECHANICAL KEYBOARD SWITCH LUBES KRYTOX GPL105 GPL205 AND BRUSH - GPL105, 2 Gram",8,A***a,bintang 5,mantap,11 bulan lalu,Varian: GPL205g0 - 2 Gram
"MECHANICAL KEYBOARD SWITCH LUBES KRYTOX GPL105 GPL205 AND BRUSH - GPL105, 2 Gram",9,Adi,bintang 5,packaging aman sampai tujuan. kualitas produk juga terbaik. terima kasih,11 bulan lalu,Varian: GPL205g0 - 2 Gram
"MECHANICAL KEYBOARD SWITCH LUBES KRYTOX GPL105 GPL205 AND BRUSH - GPL105, 2 Gram",10,bian,bintang 5,lebih bayak dari toko sebelah padahal saya beli nya 5 gram disan dan disini cuman 4 gram,Lebih dari 1 tahun lalu,Varian: GPL205g0 - 2 Gram
"MECHANICAL KEYBOARD SWITCH LUBES KRYTOX GPL105 GPL205 AND BRUSH - GPL105, 2 Gram",11,Ananda,bintang 5,"dikemas dengan baik, sangat berpengaruh di switch nya dibanding factory lube",Lebih dari 1 tahun lalu,Varian: GPL205g0 - 2 Gram
"MECHANICAL KEYBOARD SWITCH LUBES KRYTOX GPL105 GPL205 AND BRUSH - GPL105, 2 Gram",12,Jeffry,bintang 5,"Barangnya sampai dengan selamat . paketannya juga aman, recomended",Lebih dari 1 tahun lalu,Varian: GPL205g0 - 2 Gram
"MECHANICAL KEYBOARD SWITCH LUBES KRYTOX GPL105 GPL205 AND BRUSH - GPL105, 2 Gram",13,A***i,bintang 5,"Cakep, respon seller cepat. Terbaik.",Lebih dari 1 tahun lalu,Varian: GPL205 - 2 Gram
"MECHANICAL KEYBOARD SWITCH LUBES KRYTOX GPL105 GPL205 AND BRUSH - GPL105, 2 Gram",14,E***a,bintang 5,"Mantap barang original seperti biasa, nyampe langsung nge lube, cuman sayang nya proses ditoko sampai barang dikirim ke kurir aga lama, sisanya aman dan sejahtera, terima...",Lebih dari 1 tahun lalu,Varian: GPL205g0 - 2 Gram
"MECHANICAL KEYBOARD SWITCH LUBES KRYTOX GPL105 GPL205 AND BRUSH - GPL105, 2 Gram",15,S***a,bintang 4,Knpa ga di pipet ajh ka ?,Lebih dari 1 tahun lalu,Varian: GPL105 - 2 Gram
"MECHANICAL KEYBOARD SWITCH LUBES KRYTOX GPL105 GPL205 AND BRUSH - GPL105, 2 Gram",16,D***y,bintang 5,"Asik, jadi gamer setelah beli krytox. Pengiriman cepat, packing rapih dan aman menggunakan bubble wrap dan kardus, overall recommended seller 👍",Lebih dari 1 tahun lalu,Varian: GPL205 - 2 Gram
"MECHANICAL KEYBOARD SWITCH LUBES KRYTOX GPL105 GPL205 AND BRUSH - GPL105, 2 Gram",17,Nanda,bintang 5,"barang di proses dengan cepat, packing rapi",Lebih dari 1 tahun lalu,Varian: GPL205 - 2 Gram
"MECHANICAL KEYBOARD SWITCH LUBES KRYTOX GPL105 GPL205 AND BRUSH - GPL105, 2 Gram",18,H***o,bintang 5,fast response seperti biasanya. thanks,Lebih dari 1 tahun lalu,Varian: GPL205 - 2 Gram
"MECHANICAL KEYBOARD SWITCH LUBES KRYTOX GPL105 GPL205 AND BRUSH - GPL105, 2 Gram",19,D***n,bintang 5,"sdh bbrp kali belanja di sini, mantap lah, servisnya top, ngasih penjelasannya jelas, ramah, barang2 yg dijual jg kualitasnya bagus, ori, pengiriman jg super cepet.. than...",Lebih dari 1 tahun lalu,Varian: GPL205 - 2 Gram
"MECHANICAL KEYBOARD SWITCH LUBES KRYTOX GPL105 GPL205 AND BRUSH - GPL105, 2 Gram",20,Dennis,bintang 5,"Ty dah nyampe, mau beli yg lebih banyak tp cuma ada ini",Lebih dari 1 tahun lalu,Varian: GPL205 - 2 Gram
"MECHANICAL KEYBOARD SWITCH LUBES KRYTOX GPL105 GPL205 AND BRUSH - GPL105, 2 Gram",21,W***u,bintang 5,none,Lebih dari 1 tahun lalu,Varian: GPL205 - 2 Gram
"MECHANICAL KEYBOARD SWITCH LUBES KRYTOX GPL105 GPL205 AND BRUSH - GPL105, 2 Gram",22,B***u,bintang 5,Mantabssss gooodddd….. produk sesuai,Lebih dari 1 tahun lalu,Varian: GPL205 - 2 Gram
"MECHANICAL KEYBOARD SWITCH LUBES KRYTOX GPL105 GPL205 AND BRUSH - GPL105, 2 Gram",23,Nicolas,bintang 5,"fast resp, barang bagus, pengiriman cepat",Lebih dari 1 tahun lalu,Varian: GPL205 - 2 Gram
