Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
DUCKY ONE 2 MINI MECHANICAL KEYBOARD CHERRY MX SWITCH WHITE FRAME - cherry silver,1,Andika,bintang 5,👍🏼👍🏼,1 minggu lalu,Varian: Slent Red
DUCKY ONE 2 MINI MECHANICAL KEYBOARD CHERRY MX SWITCH WHITE FRAME - cherry silver,2,Christian,bintang 5,"Bagus, lumayan dapat tambahan keycaps",3 bulan lalu,Varian: cherry mx brown
DUCKY ONE 2 MINI MECHANICAL KEYBOARD CHERRY MX SWITCH WHITE FRAME - cherry silver,3,Annisa,bintang 5,"dari keyboard 200k an ganti ke mechanical ini, enak bgt feelnya. main game valorant lebih ringan movementnya. Dpt bonus keychain sm stiker, RGBnya lucu2, buat cewe cocok...",6 bulan lalu,Varian: cherry mx brown
DUCKY ONE 2 MINI MECHANICAL KEYBOARD CHERRY MX SWITCH WHITE FRAME - cherry silver,4,K***m,bintang 5,"Sangat bagus, bekerja dengan baik, pengiriman sangat cepat.",6 bulan lalu,Varian: cherry silver
DUCKY ONE 2 MINI MECHANICAL KEYBOARD CHERRY MX SWITCH WHITE FRAME - cherry silver,5,Krisna,bintang 5,"Good stuff, works well. Perlu dicatat bahwa varian ducky one 2 mini ini (DK2061ST) perlu manual firmware update (dilakukan via Windows) untuk bisa digunakan di MacOS.",6 bulan lalu,Varian: cherry mx brown
DUCKY ONE 2 MINI MECHANICAL KEYBOARD CHERRY MX SWITCH WHITE FRAME - cherry silver,6,Gidya,bintang 5,keceee,9 bulan lalu,Varian: cherry mx brown
DUCKY ONE 2 MINI MECHANICAL KEYBOARD CHERRY MX SWITCH WHITE FRAME - cherry silver,7,H***T,bintang 5,"mantap clicky enak tidak berisik, warna aman 👌",9 bulan lalu,Varian: Slent Red
DUCKY ONE 2 MINI MECHANICAL KEYBOARD CHERRY MX SWITCH WHITE FRAME - cherry silver,8,H***y,bintang 5,none,10 bulan lalu,Varian: cherry silver
DUCKY ONE 2 MINI MECHANICAL KEYBOARD CHERRY MX SWITCH WHITE FRAME - cherry silver,9,Arif,bintang 5,"Barang sampai dengan aman, packing rapih. pengiriman juga sat set sat set. admin responsif. Barsng bekerja dengan baik, sesuai deskripsi. Selalu puas belanja disini",Lebih dari 1 tahun lalu,Varian: Slent Red
DUCKY ONE 2 MINI MECHANICAL KEYBOARD CHERRY MX SWITCH WHITE FRAME - cherry silver,10,Suhendri,bintang 5,Bagus,Lebih dari 1 tahun lalu,Varian: cherry mx brown
