Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
Corsair MM100 - Gaming Mousepad,1,Surahmad,bintang 5,Mantap! Terima kasih,Lebih dari 1 tahun lalu,none
Corsair MM100 - Gaming Mousepad,2,Harto,bintang 5,satu kata... MEVAHH.. mantul bgt,Lebih dari 1 tahun lalu,none
Corsair MM100 - Gaming Mousepad,3,A***l,bintang 5,Bonusan tapi bayar,Lebih dari 1 tahun lalu,none
Corsair MM100 - Gaming Mousepad,4,Meidy,bintang 5,"bagus, worth untuk harga segini",Lebih dari 1 tahun lalu,none
Corsair MM100 - Gaming Mousepad,5,Bambang,bintang 5,sudah sampai kirimannya trims gan,Lebih dari 1 tahun lalu,none
Corsair MM100 - Gaming Mousepad,6,P***k,bintang 5,"Overall barangnya bagus, namun sesuai harga pinggiran ngga dijahit jadi pasti bakal nge-letek semua pinggirannya. Otherwise it’s all good",Lebih dari 1 tahun lalu,none
Corsair MM100 - Gaming Mousepad,7,A***f,bintang 5,Kereeen,Lebih dari 1 tahun lalu,none
Corsair MM100 - Gaming Mousepad,8,Abi,bintang 5,Packing rapi barang mulus. Mantap!,Lebih dari 1 tahun lalu,none
Corsair MM100 - Gaming Mousepad,9,Eric,bintang 5,Good Quality of product and services. Good job,Lebih dari 1 tahun lalu,none
Corsair MM100 - Gaming Mousepad,10,M***d,bintang 5,bara bagus cuman box nya aja agak penyok,Lebih dari 1 tahun lalu,none
Corsair MM100 - Gaming Mousepad,11,Akew,bintang 5,none,Lebih dari 1 tahun lalu,none
Corsair MM100 - Gaming Mousepad,12,Yara,bintang 5,Barang bagus banget packing rapi,Lebih dari 1 tahun lalu,none
Corsair MM100 - Gaming Mousepad,13,M***d,bintang 5,aman,Lebih dari 1 tahun lalu,none
Corsair MM100 - Gaming Mousepad,14,Henry,bintang 5,Cakep! Thx yaa,Lebih dari 1 tahun lalu,none
Corsair MM100 - Gaming Mousepad,15,G***y,bintang 3,kirim barangnya kelamaan,Lebih dari 1 tahun lalu,none
Corsair MM100 - Gaming Mousepad,16,Dzaky,bintang 5,"mantab, pengiriman cepat dan barangnya bagus",Lebih dari 1 tahun lalu,none
Corsair MM100 - Gaming Mousepad,17,Chandra,bintang 5,"Bagus, cukup licin tapi berasa ketika gerakin mouse. Pinggiran sedikit kasar diawal, semoga lama2 makin enak dan awet. pengiriman oke, packing rapi.",Lebih dari 1 tahun lalu,none
Corsair MM100 - Gaming Mousepad,18,hendra,bintang 5,proses cepat. seller responsive. brg sampai dgn mulus dan aman.,Lebih dari 1 tahun lalu,none
Corsair MM100 - Gaming Mousepad,19,Satrio,bintang 5,"Produk bagus, good quality for the price, recomended seller",Lebih dari 1 tahun lalu,none
Corsair MM100 - Gaming Mousepad,20,Tamyizu,bintang 5,"Mantaap, barang sesuai deskripsi ,packing rapih, proses cepat..Mantaaap Mas Bro",Lebih dari 1 tahun lalu,none
