Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
Noir N2 Pro - TKL Layout Southfacing Hot-Swap RGB - Gaming Keyboard,1,Andri,bintang 5,ok recomended seller,11 bulan lalu,Varian: Black Case - Yellow Switch
Noir N2 Pro - TKL Layout Southfacing Hot-Swap RGB - Gaming Keyboard,2,Ryan,bintang 4,"kualitasnya cukup bagus, hanya saja bagian alasnya sepertinya tidak balance, jadi goyang saat mengetik terutama di sisi kanan. agak disayangkan meskipun bisa diperbaiki....",Lebih dari 1 tahun lalu,Varian: Black Case - Yellow Switch
Noir N2 Pro - TKL Layout Southfacing Hot-Swap RGB - Gaming Keyboard,3,I***l,bintang 5,"barang sesuai,packing juga rapih",Lebih dari 1 tahun lalu,Varian: Black Case - Brown Switch
Noir N2 Pro - TKL Layout Southfacing Hot-Swap RGB - Gaming Keyboard,4,R***i,bintang 5,"Mantap pengiriman cepat, kualitas keyboardnya keren",Lebih dari 1 tahun lalu,Varian: Black Case - Red Switch
Noir N2 Pro - TKL Layout Southfacing Hot-Swap RGB - Gaming Keyboard,5,J***y,bintang 5,Salah satu gaming keyboard lokal terbaik yang ane cobain. Secara design dan build quality oke banget. Keycaps nyaman tapi sayang stabilizers nya kurang bgt jadi kudu ga...,Lebih dari 1 tahun lalu,Varian: White Case - Red Switch
Noir N2 Pro - TKL Layout Southfacing Hot-Swap RGB - Gaming Keyboard,6,R***i,bintang 5,nice ploduk. i can type my coding with good sound,Lebih dari 1 tahun lalu,Varian: Black Case - Brown Switch
Noir N2 Pro - TKL Layout Southfacing Hot-Swap RGB - Gaming Keyboard,7,Joseph,bintang 5,"akhirnya sampai juga, setelah terkendala di pengiriman 😭 terima kasih mimin goodgamingshop 🥰",Lebih dari 1 tahun lalu,Varian: White Case - Yellow Switch
Noir N2 Pro - TKL Layout Southfacing Hot-Swap RGB - Gaming Keyboard,8,Wicaksono,bintang 5,"fast response, terima kasih utk bonus2nya..",Lebih dari 1 tahun lalu,Varian: White Case - Brown Switch
Noir N2 Pro - TKL Layout Southfacing Hot-Swap RGB - Gaming Keyboard,9,Adiprima,bintang 5,"Top abis deh ini keyboard, gak nyangka keyboard 1,4 ini solid banget dalam keadaan stock. udah hampir setara keyboard-keyboard medium end. Very recommended.",Lebih dari 1 tahun lalu,Varian: Black Case - Yellow Switch
Noir N2 Pro - TKL Layout Southfacing Hot-Swap RGB - Gaming Keyboard,10,Wira,bintang 5,Keyboard mehcanical pertama yang ngasi experience luar biasa dan puas saat menggunakannya,Lebih dari 1 tahun lalu,Varian: White Case - Yellow Switch
