Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
RKGAMING RK GAMING RK84 / RK 84 / RK857 Tri-mode RGB - Gaming Keyboard,1,K***n,bintang 5,"Waktu keyboard datang, keycaps lepas 3 biji dan tombol Alt kanan kiri kebalik. Keyboard berfungsi dengan baik dan packaging rapi",Lebih dari 1 tahun lalu,Varian: Black - Blue
RKGAMING RK GAMING RK84 / RK 84 / RK857 Tri-mode RGB - Gaming Keyboard,2,M,bintang 5,"tactilenya enak, nyaman dipakai dan compact, mantaps",Lebih dari 1 tahun lalu,Varian: White - Blue
RKGAMING RK GAMING RK84 / RK 84 / RK857 Tri-mode RGB - Gaming Keyboard,3,M***o,bintang 4,"Barangnya oke. Ukurannya pas dan bahannyq oke banget, pilihan LEDnya juga cakep. Cuma sayang pengirimannya kurang. Barangnya pas sampe, ada beberapa keycaps yang lepas. U...",Lebih dari 1 tahun lalu,Varian: Black - Tactile Blue
RKGAMING RK GAMING RK84 / RK 84 / RK857 Tri-mode RGB - Gaming Keyboard,4,K***n,bintang 5,mantap,Lebih dari 1 tahun lalu,Varian: Black - Quiet Red
RKGAMING RK GAMING RK84 / RK 84 / RK857 Tri-mode RGB - Gaming Keyboard,5,Anggiat,bintang 5,"produk aman jaya sentosa,mantap deh pokoknya",Lebih dari 1 tahun lalu,Varian: White - Tactile Blue
RKGAMING RK GAMING RK84 / RK 84 / RK857 Tri-mode RGB - Gaming Keyboard,6,Rizky,bintang 5,"pengiriman yahuut, seller pun reaponsive, trims",Lebih dari 1 tahun lalu,Varian: White - Tactile Brown
RKGAMING RK GAMING RK84 / RK 84 / RK857 Tri-mode RGB - Gaming Keyboard,7,Ilham,bintang 5,"buat harga segini (diskon) worth banget sih. kualitas nya juga oke banget. feel nya enak, tactile nya pas buat ngetik/ngegame.",Lebih dari 1 tahun lalu,Varian: Black - Tactile Brown
RKGAMING RK GAMING RK84 / RK 84 / RK857 Tri-mode RGB - Gaming Keyboard,8,H***e,bintang 5,mantaf,Lebih dari 1 tahun lalu,Varian: Black - Tactile Brown
RKGAMING RK GAMING RK84 / RK 84 / RK857 Tri-mode RGB - Gaming Keyboard,9,A***n,bintang 5,none,Lebih dari 1 tahun lalu,Varian: Black - Tactile Blue
RKGAMING RK GAMING RK84 / RK 84 / RK857 Tri-mode RGB - Gaming Keyboard,10,Ilham,bintang 5,"Sudah 5 hari pemakaian sejak pembelian saat promo lebaran kemarin. Barang berfungsi sepenuhnya, sellernya juga baik dikasih thr lebaran dan botol tumbler kotak hehehe. Ma...",Lebih dari 1 tahun lalu,Varian: White - Tactile Blue
RKGAMING RK GAMING RK84 / RK 84 / RK857 Tri-mode RGB - Gaming Keyboard,11,Reyhan,bintang 5,"Di awal telat pengiriman, tapi udah tau dikarenakan pesen pas idul fitri. Overall puas harga di bawah market tapi bikin kaget lagi diberi botol dan THR. terima kasih👍👍",Lebih dari 1 tahun lalu,Varian: White - Quiet Red
RKGAMING RK GAMING RK84 / RK 84 / RK857 Tri-mode RGB - Gaming Keyboard,12,Andi,bintang 5,"Asli recommended seller deh pokoknya. prosesnya cepet, pengiriman cepet. kualitas barang terjamin mantap. plus dapat bonus Tumbler tambah lagi dapet undian mouse rexus x1...",Lebih dari 1 tahun lalu,Varian: Black - Tactile Brown
RKGAMING RK GAMING RK84 / RK 84 / RK857 Tri-mode RGB - Gaming Keyboard,13,Alvindho,bintang 5,Puaass sekali produk sangat bagus worth it.. tiba dengan selamat berfungsi normal. dapet bonus amplop thr isi kupon berhadiah menarik hahahaha 🤣🤣,Lebih dari 1 tahun lalu,Varian: White - Quiet Red
RKGAMING RK GAMING RK84 / RK 84 / RK857 Tri-mode RGB - Gaming Keyboard,14,Salman,bintang 5,"mantab, build quality nya bagus, koneksi bluetooth nya no delay, rgb nya ajiib.",Lebih dari 1 tahun lalu,Varian: White - Quiet Red
