Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
GK68X KEYCAPS,1,Lazareus,bintang 5,"Biarpun ABS tapi build quality keycaps nya tergolong bagus, halus dan enak buat ngetik cepet, minus nya hanya ada 1 tombol yang tinggi nya beda karna beda posisi but over...",Lebih dari 1 tahun lalu,Varian: ABS - WHITE
GK68X KEYCAPS,2,M***s,bintang 5,ok,Lebih dari 1 tahun lalu,Varian: ABS - WHITE
GK68X KEYCAPS,3,Kafka,bintang 5,"pengirimanya cepat, barangnya bagus",Lebih dari 1 tahun lalu,Varian: ABS - WHITE
GK68X KEYCAPS,4,ijonk,bintang 5,"respon baik ,pengiriman cepat ,good job 👍",Lebih dari 1 tahun lalu,Varian: ABS - WHITE
GK68X KEYCAPS,5,M***l,bintang 5,"mantap, kualitas dan harga bagus",Lebih dari 1 tahun lalu,Varian: ABS - WHITE
GK68X KEYCAPS,6,Farel,bintang 5,nice dapet gantungan kunci juga 👍🏼👍🏼 recommended,Lebih dari 1 tahun lalu,Varian: ABS - WHITE
GK68X KEYCAPS,7,hega,bintang 5,barang bagus.,Lebih dari 1 tahun lalu,Varian: ABS - WHITE
GK68X KEYCAPS,8,ibrahim,bintang 5,worth it di harganya,Lebih dari 1 tahun lalu,Varian: ABS - BLACK
GK68X KEYCAPS,9,Fajar,bintang 5,kualitas baik. datang tanpa lecet dan lengkap.,Lebih dari 1 tahun lalu,Varian: ABS - WHITE
GK68X KEYCAPS,10,TzE,bintang 5,none,Lebih dari 1 tahun lalu,Varian: PBT - PINK
GK68X KEYCAPS,11,L***s,bintang 5,"pelayanan toko seperti biasanya, apik terus keycapnya sendiri buat harga 120 cukup baik, soal design font sesuai selera lah ya, tapi print tiap keycap ini jauh lebih rapi...",Lebih dari 1 tahun lalu,Varian: ABS - WHITE
GK68X KEYCAPS,12,Warih,bintang 5,"Kondisi keycaps sesuai dengan foto produk, cuma untuk bagian modifier 1u + shift 1.75u-nya sedikit beda keliatannya waktu kena backlit. Mungkin beda tebalnya sama yg lain...",Lebih dari 1 tahun lalu,Varian: ABS - WHITE
GK68X KEYCAPS,13,Jet,bintang 5,GGS tidak perlu di pikiran pasti bintang 5,Lebih dari 1 tahun lalu,Varian: PBT - PINK
GK68X KEYCAPS,14,Jaya,bintang 4,kualitas keycaps ok. cuma sayang ada beberapa key yg tidak ada utk keychron K6,Lebih dari 1 tahun lalu,Varian: ABS - WHITE
GK68X KEYCAPS,15,d***n,bintang 5,Mantap banget barang nya bagus parahh,Lebih dari 1 tahun lalu,Varian: PBT - GREY
GK68X KEYCAPS,16,lukman,bintang 5,"memuaskan, dicoba di keychron k6. PBT nya lumayan tebel, tulisan keycaps nya juga tegas dan jelas. mantap!",Lebih dari 1 tahun lalu,Varian: PBT - WHITE
GK68X KEYCAPS,17,Chris,bintang 5,none,Lebih dari 1 tahun lalu,Varian: PBT - GREY
GK68X KEYCAPS,18,Aldi,bintang 5,Mantepp gan cocok buat k6 nich,Lebih dari 1 tahun lalu,Varian: PBT - GREY
GK68X KEYCAPS,19,Rizki,bintang 5,tjakep 👍 di keychron k6,Lebih dari 1 tahun lalu,Varian: PBT - WHITE
GK68X KEYCAPS,20,Indra,bintang 5,mantep lucu bos,Lebih dari 1 tahun lalu,Varian: PBT - PINK
GK68X KEYCAPS,21,Muhamad,bintang 5,Bisa pas di keychron k6,Lebih dari 1 tahun lalu,Varian: PBT - PINK
GK68X KEYCAPS,22,Ren,bintang 5,Keycaps GSA profile PBT dye sub termurah dan terbaik. Bahan dan kualitas sama persis dgn pny VX64/lite.,Lebih dari 1 tahun lalu,Varian: PBT - WHITE
