Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
Lamzu Superlight Atlantis MINI - Gaming Mouse,1,Dylan,bintang 5,very2 highly recommended gaming mice untuk sekarang,10 bulan lalu,Varian: Hitam
Lamzu Superlight Atlantis MINI - Gaming Mouse,2,A***o,bintang 5,"sebagai pengguna g304 perbedaan beratnya terasa banget. Size nya 11-12 beda di humpnya. Main click nya mantap, side button jg mantap, packaging jg top.",10 bulan lalu,Varian: Putih
Lamzu Superlight Atlantis MINI - Gaming Mouse,3,D***n,bintang 5,"makasih min, mousenyaenak bwt gantiin zowie yg masih kabel",11 bulan lalu,Varian: Putih
Lamzu Superlight Atlantis MINI - Gaming Mouse,4,N***l,bintang 5,"Suka banget, pengiriman cepat, makasih banyak",11 bulan lalu,Varian: Putih
Lamzu Superlight Atlantis MINI - Gaming Mouse,5,Y***i,bintang 5,"Setelah nyoba di toko lgsg beli, sangat cocok grip nya untuk saya yang suka claw grip",11 bulan lalu,Varian: Putih
Lamzu Superlight Atlantis MINI - Gaming Mouse,6,M***M,bintang 5,none,11 bulan lalu,Varian: Hitam
Lamzu Superlight Atlantis MINI - Gaming Mouse,7,K***S,bintang 5,none,12 bulan lalu,Varian: Hitam
Lamzu Superlight Atlantis MINI - Gaming Mouse,8,Amadeus,bintang 5,mantap,Lebih dari 1 tahun lalu,Varian: Putih
Lamzu Superlight Atlantis MINI - Gaming Mouse,9,Y***i,bintang 5,Mantap,Lebih dari 1 tahun lalu,Varian: Hitam
Lamzu Superlight Atlantis MINI - Gaming Mouse,10,benny,bintang 5,sesuai deskripsi !. thank you,Lebih dari 1 tahun lalu,Varian: Putih
Lamzu Superlight Atlantis MINI - Gaming Mouse,11,Arga,bintang 5,Cocok banget buat yg merasa gprox sl kegedean. Pas buat claw grip. Yg warna itam texturenya mantep juga. Ga salah pilih mouse. Kurangnya cma software interfacnenya cuy ad...,Lebih dari 1 tahun lalu,Varian: Hitam
Lamzu Superlight Atlantis MINI - Gaming Mouse,12,Hariawan,bintang 5,Mantab,Lebih dari 1 tahun lalu,Varian: Hitam
