Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
Rexus Arka III / 3 RX112 / RX-112 Gaming Mouse,1,A***m,bintang 5,barang berfungsi dgn baik,2 bulan lalu,Varian: Putih
Rexus Arka III / 3 RX112 / RX-112 Gaming Mouse,2,I***m,bintang 3,dongel nyangkut di dalam gak ngaruh sisanya bagus,3 bulan lalu,Varian: Putih
Rexus Arka III / 3 RX112 / RX-112 Gaming Mouse,3,Mediyan,bintang 5,"Mendarat aman, ini secara fungsional kepke banget. Mouse recommended, tp buat aku ini terlalu ringan buat main game.",4 bulan lalu,Varian: Putih
Rexus Arka III / 3 RX112 / RX-112 Gaming Mouse,4,liff,bintang 4,Barang nya bagus sih cocok untuk kompetitif ringan tapi 1. kgk cocok buat tangan saya ternyata terlalu ceper bikin pegel (kalo ini selera ya 2. DPI nya suka keganti sendi...,4 bulan lalu,Varian: Putih
Rexus Arka III / 3 RX112 / RX-112 Gaming Mouse,5,Rifqi,bintang 5,tombol dpi dibawah sering keteken sayangnya,4 bulan lalu,Varian: Hitam
Rexus Arka III / 3 RX112 / RX-112 Gaming Mouse,6,E***n,bintang 5,"packaging bagus dan tidak ada minus setelah sampai, seller fast respon dan ramah. 👍👍👍",4 bulan lalu,Varian: Putih
Rexus Arka III / 3 RX112 / RX-112 Gaming Mouse,7,Theodore,bintang 5,Barang mantap. Terima kasih!,4 bulan lalu,Varian: Putih
Rexus Arka III / 3 RX112 / RX-112 Gaming Mouse,8,M***d,bintang 5,"Bagus sii walaupun ga ada driver dari rexusnya, buat saya yang jarang main game pake mouse yaa okee laa, saya sendiri setting speed mousenya di setting-an windows hahaha",4 bulan lalu,Varian: Hitam
Rexus Arka III / 3 RX112 / RX-112 Gaming Mouse,9,Mardiana,bintang 5,overall bagus harga paling terjangkau admin baik bgt langsung dikirim dihari yg sama makasih atmin,5 bulan lalu,Varian: Hitam
Rexus Arka III / 3 RX112 / RX-112 Gaming Mouse,10,b***s,bintang 4,Sayang ga ada software,5 bulan lalu,Varian: Putih
Rexus Arka III / 3 RX112 / RX-112 Gaming Mouse,11,I***m,bintang 5,mangstab tararengkyu sticker nya,6 bulan lalu,Varian: Putih
Rexus Arka III / 3 RX112 / RX-112 Gaming Mouse,12,Woko,bintang 5,Mouse nya super ringanz feel di tangan juga pas. Wired aman. Pake Dongle juga aman. Terimakasih Bro 👍🏼,6 bulan lalu,Varian: Putih
Rexus Arka III / 3 RX112 / RX-112 Gaming Mouse,13,Mahendra,bintang 5,"packing rapih, seller gesit👌",6 bulan lalu,Varian: Putih
