Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
LEOBOG HI75 / HI 75 Aluminium Barebone - Mechanical Keyboard,1,K***n,bintang 5,"cakep, body alu solid, stock stabilizer minim rattle, foam lengkap, feel ngetik nyaman, udah bener2 ready to use selama ada switches & keycaps. kurang suka sama logo...",1 bulan lalu,Varian: Ungu
LEOBOG HI75 / HI 75 Aluminium Barebone - Mechanical Keyboard,2,F***n,bintang 5,"Keyboard aluminium barebone pertama gua wkwkwk,untuk beratnya aga berat dibandingin 2 keyboard yang gua punya,ajazz ak820,sama maxfit 61,the best lah pokonya wkwkwk",2 bulan lalu,Varian: Putih
LEOBOG HI75 / HI 75 Aluminium Barebone - Mechanical Keyboard,3,Ivanna,bintang 5,none,3 bulan lalu,Varian: Ungu
LEOBOG HI75 / HI 75 Aluminium Barebone - Mechanical Keyboard,4,Kelvin,bintang 5,none,3 bulan lalu,Varian: Putih
LEOBOG HI75 / HI 75 Aluminium Barebone - Mechanical Keyboard,5,Daffa,bintang 5,gokil,4 bulan lalu,Varian: Putih
LEOBOG HI75 / HI 75 Aluminium Barebone - Mechanical Keyboard,6,Rizky,bintang 5,Belom coba sih nanti kalo udah coba baru review,4 bulan lalu,Varian: Hitam
LEOBOG HI75 / HI 75 Aluminium Barebone - Mechanical Keyboard,7,Gangsar,bintang 5,"mendarat dengan cantik, alhamdulilah dapet promo 12.12",4 bulan lalu,Varian: Putih
LEOBOG HI75 / HI 75 Aluminium Barebone - Mechanical Keyboard,8,Malvin,bintang 5,"BAGUS. punya berat kaya premium, alumunium tebal dipasang switch langsung thocky tanpa di mod, rgb terang parah banyak mode. fast respon shopnya, fast delivery, recomend...",5 bulan lalu,Varian: Putih
LEOBOG HI75 / HI 75 Aluminium Barebone - Mechanical Keyboard,9,Muhammad,bintang 5,barang sudah tiba semoga cocok dipasangin sama gateron baby kangaroo,5 bulan lalu,Varian: Putih
LEOBOG HI75 / HI 75 Aluminium Barebone - Mechanical Keyboard,10,m***n,bintang 5,worth the price,5 bulan lalu,Varian: Putih
LEOBOG HI75 / HI 75 Aluminium Barebone - Mechanical Keyboard,11,T***n,bintang 5,"seller responsif, informatif. barang bukan kaleng kaleng. rec seller.",5 bulan lalu,Varian: Hitam
LEOBOG HI75 / HI 75 Aluminium Barebone - Mechanical Keyboard,12,V***n,bintang 5,"Sesuai deskripis, semoga awet thanks",5 bulan lalu,Varian: Putih
LEOBOG HI75 / HI 75 Aluminium Barebone - Mechanical Keyboard,13,Rizky,bintang 5,"Cakep banget sih inii, ga perlu di mod jg udah bagus, build quality nya boleh nih. Worth the price",5 bulan lalu,Varian: Putih
LEOBOG HI75 / HI 75 Aluminium Barebone - Mechanical Keyboard,14,Arkan,bintang 5,okkkkk,5 bulan lalu,Varian: Putih
LEOBOG HI75 / HI 75 Aluminium Barebone - Mechanical Keyboard,15,D***y,bintang 5,"Awalnya ku tak peduli, tapi berujung jatuh hati. Emang boleh seenak ini?",6 bulan lalu,Varian: Hitam
LEOBOG HI75 / HI 75 Aluminium Barebone - Mechanical Keyboard,16,C***f,bintang 5,"Barang nya bagus banget, respon admin mantep, selalu menjawab dengan sabar wkwk. note : video unboxing wajib ya geng, sampe ke detail nge CHECK barang nya, siapa tau ada...",6 bulan lalu,Varian: Hitam
LEOBOG HI75 / HI 75 Aluminium Barebone - Mechanical Keyboard,17,Oka,bintang 5,worth it banget di harga segini 👍👍👍,6 bulan lalu,none
LEOBOG HI75 / HI 75 Aluminium Barebone - Mechanical Keyboard,18,Rezaldi,bintang 5,"Pelayanan goodgaming sih udah pasti manteb, keyboard nya terlalu bagus sih buat harga segitu, suaranya udah thocky low latency pula..mantab",6 bulan lalu,none
LEOBOG HI75 / HI 75 Aluminium Barebone - Mechanical Keyboard,19,A***a,bintang 5,none,6 bulan lalu,none
LEOBOG HI75 / HI 75 Aluminium Barebone - Mechanical Keyboard,20,R***a,bintang 5,Produknya bagus. Seller fast response dan ramah. Pengiriman sangat cepat. Recommended.,7 bulan lalu,none
