Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
Fantech MPR351 Firefly - RGB Gaming Mousepad,1,V***o,bintang 5,"Sesuai dengan ekspektasi, terima kasih banyak",10 bulan lalu,none
Fantech MPR351 Firefly - RGB Gaming Mousepad,2,R***a,bintang 5,Mantap banget 🙏🏻,Lebih dari 1 tahun lalu,none
Fantech MPR351 Firefly - RGB Gaming Mousepad,3,Hilmi,bintang 5,"Barang sesuai pesanan, mousepadnya ok. terimakasih",Lebih dari 1 tahun lalu,none
Fantech MPR351 Firefly - RGB Gaming Mousepad,4,P***A,bintang 5,none,Lebih dari 1 tahun lalu,none
Fantech MPR351 Firefly - RGB Gaming Mousepad,5,PRASETYO,bintang 5,bagus,Lebih dari 1 tahun lalu,none
Fantech MPR351 Firefly - RGB Gaming Mousepad,6,tir,bintang 5,"bagus banget bang,pengirimannya juga sesuai waktu",Lebih dari 1 tahun lalu,none
Fantech MPR351 Firefly - RGB Gaming Mousepad,7,Raditha,bintang 4,"mantap, harga boleh murah tapi kualitas tidak murahan, untuk lampunya terang klo lampu ruangan nya di matikan, -1 karena pengiriman nya lama",Lebih dari 1 tahun lalu,none
Fantech MPR351 Firefly - RGB Gaming Mousepad,8,Y***e,bintang 5,Mantap,Lebih dari 1 tahun lalu,none
Fantech MPR351 Firefly - RGB Gaming Mousepad,9,Fahri,bintang 5,bagus,Lebih dari 1 tahun lalu,none
Fantech MPR351 Firefly - RGB Gaming Mousepad,10,aditya,bintang 5,recomended seller,Lebih dari 1 tahun lalu,none
Fantech MPR351 Firefly - RGB Gaming Mousepad,11,a***y,bintang 5,barang sampai kondisi bagus gada yg rusak aman semua,Lebih dari 1 tahun lalu,none
Fantech MPR351 Firefly - RGB Gaming Mousepad,12,G***g,bintang 5,none,Lebih dari 1 tahun lalu,none
