Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
CIY Tester 68 Mechanical Keyboard,1,A***i,bintang 5,"Sangat puas dengan kit barebone ini, sudah dapat material silicon dampened, dan foam tipis pada case sehingga hollow sound berkurang. Stabilizer yang saya dapat tergolong...",8 bulan lalu,Varian: White
CIY Tester 68 Mechanical Keyboard,2,Tian,bintang 5,mau ngasih video..malah kepencet ulas Langsung..wkwkwk ini barang ke 2 dgn case ciy68 yg direpaint diton blue purple+drinkey green switch clicky+eva01 keycaps,8 bulan lalu,Varian: White
CIY Tester 68 Mechanical Keyboard,3,Khaqul,bintang 5,"barang sesuai, proses cepat pula👌",8 bulan lalu,Varian: White
CIY Tester 68 Mechanical Keyboard,4,Dimas,bintang 5,DAPET DI HARGA FLASHSLLL.. tpi di tiktok ternyta lagi live for sale juga :')))) tpi gpp harganya beda tipis ketika diskon.. butt ya sesuai dengan review di youtube un...,8 bulan lalu,Varian: White
CIY Tester 68 Mechanical Keyboard,5,torgan,bintang 5,"Barang bagus bgt, super murah dan cepet banget diproses, mantappp!",9 bulan lalu,Varian: White
CIY Tester 68 Mechanical Keyboard,6,Tian,bintang 5,"Gila barebone ciy tester 68, dpt harga 188rb, diluar negeri mah kena 20$-29$ Awal nya nyobain penasaran am barebone, kirain murah=murahan..tau nya ini high quality bgt.....",9 bulan lalu,Varian: White
CIY Tester 68 Mechanical Keyboard,7,Kenshuzo,bintang 5,Bagus sekali! Juga di kasih switch dan keycap puller!,9 bulan lalu,Varian: White
CIY Tester 68 Mechanical Keyboard,8,Fawwaz,bintang 5,makasih banget goodgamingshop 😍😍,9 bulan lalu,Varian: White
CIY Tester 68 Mechanical Keyboard,9,Casey,bintang 5,"mantul sameday nyampe aman, packing oke, untuk budget segini sih menurut ku worth it banget, tinggal tambah foam lagi, lube stabs, pasang switch yg lubed, keycaps andalan...",9 bulan lalu,Varian: White
CIY Tester 68 Mechanical Keyboard,10,Umar,bintang 5,"puas sama barangnya, pas bgt dptnya di 8.8 hehe, thx ya gan😁👍",9 bulan lalu,Varian: White
CIY Tester 68 Mechanical Keyboard,11,didan,bintang 5,mantap,9 bulan lalu,Varian: White
CIY Tester 68 Mechanical Keyboard,12,F***t,bintang 5,"Buat harga segini , Tester68 ini sih enak banget. Daripada harus beli Out of the box terus di modif , mending ini aja lgsg. Stockwise udah ok ga perlu nambah ato ganti l...",9 bulan lalu,Varian: White
CIY Tester 68 Mechanical Keyboard,13,Adam,bintang 5,"worth the price banget, fitur Bluetooth di harga segini bener2 recommended",9 bulan lalu,Varian: Smokey Black
CIY Tester 68 Mechanical Keyboard,14,Muhammad,bintang 5,good qualitt budget keyboard,9 bulan lalu,Varian: Smokey Black
CIY Tester 68 Mechanical Keyboard,15,C***n,bintang 5,"stabs bagus ga rattle kalau dilube dgn bener. konektivitas lancar baik dongle maupun bluetooth multi device. bluetooth minim delay utk office dan gaming casual, tapi kada...",10 bulan lalu,Varian: Smokey Black
CIY Tester 68 Mechanical Keyboard,16,Alfindo,bintang 5,"Packing super aman, sampai tanpa ada penyok di kardus. Barebone kokoh bagus, ada foam tipis. cocok buat yang mau rakit keyboard sendiri dengan budget minim",10 bulan lalu,Varian: Smokey Black
CIY Tester 68 Mechanical Keyboard,17,S***o,bintang 5,thanks,10 bulan lalu,Varian: Smokey Black
CIY Tester 68 Mechanical Keyboard,18,A***i,bintang 5,"udah ok diharganya, cuma yang mau bongkar pelan pelan drat bautnya rada ringkih gampang ngelos. overall bagus sih",11 bulan lalu,Varian: White
CIY Tester 68 Mechanical Keyboard,19,S***o,bintang 5,barang bagus & dateng dg cepat banget 👍,Lebih dari 1 tahun lalu,Varian: Smokey Black
CIY Tester 68 Mechanical Keyboard,20,G***r,bintang 5,"OK lah ini untuk harganya, price to performance ntbs",Lebih dari 1 tahun lalu,Varian: Smokey Black
CIY Tester 68 Mechanical Keyboard,21,Imam,bintang 5,Build quality-nya terbaik,Lebih dari 1 tahun lalu,Varian: White
CIY Tester 68 Mechanical Keyboard,22,D***a,bintang 5,"untuk harga segini worth to buy bgt, build qualitynya bagus🖤",Lebih dari 1 tahun lalu,Varian: Smokey Black
CIY Tester 68 Mechanical Keyboard,23,Nathan,bintang 5,udh dirakit,Lebih dari 1 tahun lalu,Varian: Smokey Black
