Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
CORSAIR HARPOON WIRELESS RGB GAMING MOUSE,1,S***o,bintang 5,produk sesuai,Lebih dari 1 tahun lalu,none
CORSAIR HARPOON WIRELESS RGB GAMING MOUSE,2,A***n,bintang 5,Barang bagus packing nya juga rapih,Lebih dari 1 tahun lalu,none
CORSAIR HARPOON WIRELESS RGB GAMING MOUSE,3,T***u,bintang 5,barang sesuai harapan. pengiriman mantap 2 hari sampe ke Aceh. Nyaman dan praktis tinggal plug and play. Best value mouse. Ukuran mouse pas ditangan..,Lebih dari 1 tahun lalu,none
CORSAIR HARPOON WIRELESS RGB GAMING MOUSE,4,F***y,bintang 5,Terima kasih barang sudah diterima dan sesuai dengan pesanan 🤝,Lebih dari 1 tahun lalu,none
CORSAIR HARPOON WIRELESS RGB GAMING MOUSE,5,Dessen,bintang 5,"Mantap, chargable wireless gaming mouse. Tahan 5-6 hari, Gaming+general use. Charge 1-2 jam full. Problemnya generall ajaa, kalo gapake dongle, mempengaruhi jaringan inte...",Lebih dari 1 tahun lalu,none
CORSAIR HARPOON WIRELESS RGB GAMING MOUSE,6,K***n,bintang 5,"barang aman, respon cepet & prosesnya juga cepat",Lebih dari 1 tahun lalu,none
CORSAIR HARPOON WIRELESS RGB GAMING MOUSE,7,Hanny,bintang 5,"Bintang 5 utk seller krn fast deliv fast service 👍 Tp bintang 4.5 utk produkny. Overall ok bgt (fast konek, good click response) cmn g suka sm feel mousenya krn bkn rubb...",Lebih dari 1 tahun lalu,none
CORSAIR HARPOON WIRELESS RGB GAMING MOUSE,8,F***a,bintang 4,pertama datang mouse klik kanan kurang clicky,Lebih dari 1 tahun lalu,none
CORSAIR HARPOON WIRELESS RGB GAMING MOUSE,9,A***l,bintang 5,keren mousenya..sesuai pesanan,Lebih dari 1 tahun lalu,none
CORSAIR HARPOON WIRELESS RGB GAMING MOUSE,10,Sherilyn,bintang 5,Nyampe dalam waktu 2 hari. Terimakasih ggs ❤️. Walopun box nya agak peyok karna ekspedisi mungkin padahal mau dibuat kado u.u tp untung dalemnya aman. Udah di coba buat m...,Lebih dari 1 tahun lalu,none
