Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
XE ATK68 Magnetic Switch Mechanical Keyboard,1,Muhammad,bintang 5,"Bahan bagus, alunya di bagian top, plastik dibawah. Hall effect oke banget, download softwarenya trs aktifin smart speednya biar latencynya rendah. Suara ok banget buat h...",1 bulan lalu,Varian: SILVER
XE ATK68 Magnetic Switch Mechanical Keyboard,2,stereoboost,bintang 5,"keyboard enak gaperlu dimodif2 lagi. build quality kalo disebelahin sama wooting, wooting serasa keyboard kw wkwk tapi untuk rapid trigger wooting masih menang no 1 tiada...",1 bulan lalu,Varian: Hitam
XE ATK68 Magnetic Switch Mechanical Keyboard,3,J***n,bintang 2,"kecewa dpt switch raesha, dri website GGS, video youtubenya, sama beberapa gambar produknya tuh switch gateron. Tapi datengnya yg raesha. Gak ada keterangan di deskripsi...",1 bulan lalu,Varian: Hitam
XE ATK68 Magnetic Switch Mechanical Keyboard,4,M***d,bintang 5,Mantap,1 bulan lalu,Varian: Hitam
XE ATK68 Magnetic Switch Mechanical Keyboard,5,Dimas,bintang 5,Mantap👍🏻,1 bulan lalu,Varian: SILVER
XE ATK68 Magnetic Switch Mechanical Keyboard,6,E***a,bintang 5,Salah satu keyboard price to performance yang paling ok di market. Bahan dan sentuhannya terasa sangat premium.,1 bulan lalu,Varian: Hitam
XE ATK68 Magnetic Switch Mechanical Keyboard,7,S***n,bintang 5,mantapp,1 bulan lalu,Varian: Hitam
XE ATK68 Magnetic Switch Mechanical Keyboard,8,Ahmad,bintang 5,goks,1 bulan lalu,Varian: Hitam
XE ATK68 Magnetic Switch Mechanical Keyboard,9,Wing,bintang 5,"barang sesuai, support aman",2 bulan lalu,none
XE ATK68 Magnetic Switch Mechanical Keyboard,10,M***M,bintang 5,Bahan aluminium mantap Lube nya gila mantap RT 0.1mm mantap Aplikasi nya agak ribet awal-awal,3 bulan lalu,none
XE ATK68 Magnetic Switch Mechanical Keyboard,11,D***i,bintang 5,kacau sehh ini gilaa gilaa,3 bulan lalu,none
XE ATK68 Magnetic Switch Mechanical Keyboard,12,Edward,bintang 5,mantab barang sesuai dengan yang diiklankan oleh penjual,3 bulan lalu,none
XE ATK68 Magnetic Switch Mechanical Keyboard,13,Dennys,bintang 5,"too good man, cs responsif, admin responsif, mantap",3 bulan lalu,none
XE ATK68 Magnetic Switch Mechanical Keyboard,14,Dimas,bintang 5,rawrrr 😼😼😼,3 bulan lalu,none
XE ATK68 Magnetic Switch Mechanical Keyboard,15,A***d,bintang 5,"akhirnya bisa pake ini keyboard setelah kendala sama softwarenya, buat temen temen yang ada kendala error pas pake softwarenya bisa langsung kontak orang VGN nya",3 bulan lalu,none
XE ATK68 Magnetic Switch Mechanical Keyboard,16,B***y,bintang 5,"solid build di harga segini, utk tipe switch termasuk cukup silent tp agak kurang enak di bagian spacebarnya (agak nyaring), selebihnya very good. sempet susah utk konek...",3 bulan lalu,none
