Nama Produk,Review,Nama Akun,Rating User,Ulasan Produk,Waktu Review,Varian Produk
Akko Dracula Castle (198-key) ASA Profile PBT Double Shot - Keycap Set,1,P***s,bintang 5,none,Lebih dari 1 tahun lalu,none
Akko Dracula Castle (198-key) ASA Profile PBT Double Shot - Keycap Set,2,F***o,bintang 5,mantap 👍🏻,Lebih dari 1 tahun lalu,none
Akko Dracula Castle (198-key) ASA Profile PBT Double Shot - Keycap Set,3,Fajar,bintang 5,spacebarnya untuk profile ASA ini fav. banget bahkan kecap profile lain ga terlalu suka suara spacenya. hampir mirip suara SA profile tapi beda. untuk kualitasnya udah...,Lebih dari 1 tahun lalu,none
Akko Dracula Castle (198-key) ASA Profile PBT Double Shot - Keycap Set,4,A***d,bintang 5,"mantab, keren bgt keycaps nya, dan masih keadaan segel juga, semoga awet",Lebih dari 1 tahun lalu,none
Akko Dracula Castle (198-key) ASA Profile PBT Double Shot - Keycap Set,5,J***n,bintang 4,"ujung dusnya peok"" alangkah lebih baik jika esktra bubblewrap kualitas keykapsnya joss",Lebih dari 1 tahun lalu,none
Akko Dracula Castle (198-key) ASA Profile PBT Double Shot - Keycap Set,6,A***e,bintang 5,Build quality-nya terbaik.,Lebih dari 1 tahun lalu,none
Akko Dracula Castle (198-key) ASA Profile PBT Double Shot - Keycap Set,7,K***n,bintang 5,Build quality-nya bagus dan enak banget buat nge-game.,Lebih dari 1 tahun lalu,none
Akko Dracula Castle (198-key) ASA Profile PBT Double Shot - Keycap Set,8,Sam,bintang 5,Keyboardnya mantap dan enak digunakan. Build quality-nya terbaik. Enak banget buat nge-game.,Lebih dari 1 tahun lalu,none
Akko Dracula Castle (198-key) ASA Profile PBT Double Shot - Keycap Set,9,Rendy,bintang 5,sip,Lebih dari 1 tahun lalu,none
Akko Dracula Castle (198-key) ASA Profile PBT Double Shot - Keycap Set,10,Dennis,bintang 5,"Sbg awam, keycaps mahal tp worth it (putihnya ke cream, merahnya ke maroon, hitam walaupun gapekat kek ada greynya). Krn baru nyoba beli keyboard yg modelan hotswap serin...",Lebih dari 1 tahun lalu,none
